T27-S T1,overview statistics,,,,
identifier,water [g],sand [g],salt direct [g],salt indirect [g],salt difference [g]
"(1,1)",04.1512,9.75,2.88,3.28,0.40
"(1,2)",04.0360,7.60,1.49,1.67,0.18
"(1,3)",04.2921,11.13,0.95,0.91,-0.04
"(1,4)",03.6157,11.28,0.61,0.56,-0.05
"(1,5)",05.0888,10.00,0.86,0.83,-0.04
"(1,6)",04.7160,8.23,0.77,0.75,-0.02
"(1,7)",04.7343,11.11,0.71,0.69,-0.02
"(1,8)",14.8991,5.26,2.00,1.96,-0.05
"(1,9)",12.0664,5.33,2.00,2.45,0.45
"(2,1)",03.0522,10.52,2.51,2.89,0.38
"(2,2)",05.3113,8.74,2.02,2.32,0.31
"(2,3)",03.2898,8.16,0.73,0.70,-0.03
"(2,4)",03.3441,10.39,0.57,0.54,-0.03
"(2,5)",04.5569,8.51,0.79,0.77,-0.02
"(2,6)",06.5642,9.48,1.02,1.00,-0.02
"(2,7)",03.9286,10.00,0.59,0.58,-0.01
"(2,8)",12.5189,4.10,1.67,1.64,-0.04
"(2,9)",17.0170,5.58,1.89,1.84,-0.06
"(3,1)",02.8863,10.78,2.47,2.75,0.27
"(3,2)",02.5780,4.98,1.75,2.17,0.41
"(3,3)",04.6063,8.65,1.11,1.08,-0.03
"(3,4)",02.8879,9.02,0.53,0.50,-0.03
"(3,5)",05.7436,11.48,0.96,0.93,-0.03
"(3,6)",04.9468,7.49,0.79,0.77,-0.02
"(3,7)",04.8846,9.25,0.74,0.73,-0.02
"(3,8)",15.3507,5.81,2.07,2.02,-0.06
"(3,9)",18.3944,4.37,1.58,1.96,0.38
"(4,1)",04.1072,10.94,2.90,3.20,0.29
"(4,2)",03.4134,6.71,2.12,2.59,0.47
"(4,3)",04.8139,8.55,1.17,1.15,-0.02
"(4,4)",02.5153,8.34,0.45,0.41,-0.04
"(4,5)",05.0629,9.92,0.87,0.84,-0.03
"(4,6)",06.0708,10.24,0.95,0.93,-0.03
"(4,7)",03.3642,9.24,0.52,0.51,-0.01
"(4,8)",10.7494,3.96,1.42,1.41,-0.01
"(4,9)",16.7327,5.61,1.84,1.79,-0.05
"(5,1)",03.3261,9.55,2.48,2.70,0.22
"(5,2)",02.5920,5.00,1.93,2.40,0.47
"(5,3)",04.1520,7.36,1.02,0.99,-0.03
"(5,4)",03.1695,10.50,0.56,0.52,-0.04
"(5,5)",05.3509,10.80,0.90,0.88,-0.03
"(5,6)",06.3382,9.78,0.99,0.96,-0.03
"(5,7)",04.3262,9.47,0.66,0.64,-0.01
"(5,8)",10.6210,3.68,1.41,1.37,-0.04
"(5,9)",15.8470,5.17,1.79,1.96,0.17
"(6,1)",03.1204,8.75,2.13,2.31,0.18
"(6,2)",03.4780,5.33,1.99,2.39,0.40
"(6,3)",04.2006,8.11,1.04,1.00,-0.04
"(6,4)",02.3523,7.87,0.43,0.40,-0.03
"(6,5)",04.0309,7.84,0.73,0.69,-0.04
"(6,6)",06.3684,8.92,1.00,0.96,-0.04
"(6,7)",04.6244,11.54,0.68,0.66,-0.02
"(6,8)",14.8405,4.89,1.95,1.91,-0.04
"(6,9)",16.3753,5.10,1.79,1.74,-0.05
"(7,1)",03.4964,5.79,1.91,1.95,0.04
"(7,2)",01.9406,3.73,1.29,1.38,0.09
"(7,3)",04.4610,8.39,1.06,0.99,-0.08
"(7,4)",03.2841,10.80,0.55,0.41,-0.14
"(7,5)",05.3291,10.19,0.88,0.81,-0.07
"(7,6)",06.0163,9.34,0.92,0.87,-0.05
"(7,7)",04.7225,10.63,0.68,0.63,-0.05
"(7,8)",11.8884,4.12,1.62,1.56,-0.06
"(7,9)",14.7789,4.66,1.69,1.80,0.11
"(8,1)",03.4570,6.91,2.27,2.37,0.10
"(8,2)",02.0660,3.86,1.37,1.50,0.12
"(8,3)",03.7652,7.48,0.93,0.86,-0.06
"(8,4)",02.4224,7.79,0.44,0.34,-0.10
"(8,5)",04.6845,8.58,0.78,0.72,-0.06
"(8,6)",05.7960,8.56,0.88,0.83,-0.05
"(8,7)",04.3596,10.33,0.64,0.61,-0.04
"(8,8)",14.3126,4.99,1.84,1.78,-0.05
