label,time_passed_at_measurement,measured_wavelength,absolute_error_wavelength,measured_evaporation_rate,absolute_error_evaporation_rate
059_R01,26.0,0.053678,0.009794,2.08e-07,8e-08
062_R01,225.25,0.060903,0.009156000000000001,2.2440000000000002e-07,5.2e-09
062_B01,408.0,0.067213,0.009801,9.240000000000001e-08,3.024e-09
063_B01,185.0,0.150451,0.003929,7.8e-07,1.568e-07
064_B02,310.0,0.11763900000000001,0.011419,1.408e-07,5.4e-09
065_R01,161.0,0.082353,0.017156,4.7200000000000004e-07,8.199999999999999e-09
065_R02,185.75,0.082389,0.017164,4.1200000000000004e-07,3.9200000000000005e-09
065_R03,216.75,0.07802200000000001,0.013013999999999998,3.008e-07,6.48e-09
066_F01,96.0,0.100553,0.018621000000000002,1.9239999999999998e-07,7.52e-09
066_F02,238.5,0.08684299999999999,0.008713,4.6399999999999997e-07,3.336e-09
066_R02,269.0,0.09888,0.017394,4.32e-07,3.812e-09
067_B01,24.5,0.06489500000000001,0.009733,9.88e-07,1.04e-08
067_B02,114.0,0.088806,0.010527,6.72e-07,8e-08
067_B03,124.0,0.112401,0.016262000000000002,6.72e-07,8e-08
067_B05,256.5,0.092173,0.017876,1.172e-06,7.44e-08
067_B06,282.0,0.064624,0.012284,6.520000000000001e-07,3.6480000000000002e-09
067_B07,291.5,0.132689,0.010740000000000001,7.040000000000001e-07,1.0920000000000001e-08
067_B08,307.5,0.061249,0.014119999999999999,7.72e-07,2.3959999999999997e-08
068_B03,119.0,0.07546,0.021394999999999997,4.8399999999999997e-08,1.2640000000000002e-09
068_B04,163.0,0.129875,0.028395,4.440000000000001e-08,1.0440000000000001e-09
068_B05,190.5,0.101136,0.01184,3.432e-08,3.156e-09
069_B01,40.5,0.07335599999999999,0.013178,5.4e-07,7.640000000000001e-09
070_B01,27.0,0.070108,0.017962,9.199999999999999e-08,8.16e-09
070_B02,46.0,0.075673,0.005807,1.564e-07,3.2e-09
070_B03,111.5,0.100469,0.014618,9.880000000000001e-08,7.68e-09
070_B04,134.0,0.16658299999999998,0.011103,7.240000000000001e-07,1.1240000000000002e-08
070_B05,164.0,0.123852,0.008856000000000001,4.7200000000000004e-07,1.2919999999999998e-08
070_B06,181.5,0.128883,0.00325,3.488e-07,2.6360000000000002e-08
070_B07,188.0,0.11366199999999999,0.022525,4.32e-07,4.84e-10
070_B08,207.0,0.12753299999999998,0.016552,1.364e-07,5e-09
070_B09,278.0,0.10204400000000001,0.008246,1.0359999999999999e-07,4.36e-09
070_B10,283.25,0.098979,0.018697,5e-08,1.648e-09
070_B11,289.75,0.08429,0.019079,4.92e-08,4.1999999999999996e-09
070_B12,302.0,0.100839,0.007622,4.6799999999999996e-08,4.4e-09
070_B14,325.75,0.098803,0.017466,2.524e-07,3.7080000000000005e-08
070_B15,333.5,0.105496,0.030811,2.044e-07,2.4e-08
070_B17,358.0,0.133035,0.005043,2.26e-07,7.76e-09
070_B18,374.0,0.12701400000000002,0.038844,2.1079999999999998e-07,1.1079999999999999e-08
071_B02,88.0,0.080579,0.013895,4.7600000000000003e-07,2.8000000000000003e-09
071_B03,93.75,0.082316,0.014452000000000001,4.6399999999999997e-07,2.084e-09
071_B04,99.75,0.06143,0.010329999999999999,4.6399999999999997e-07,2.364e-09
071_B05,112.0,0.09618099999999999,0.009283,4.52e-07,3.14e-09
071_B06,117.5,0.099534,0.011593000000000001,4.4e-07,3.952e-09
071_B07,135.75,0.119282,0.024571,3.628e-07,5.4e-09
071_B08,143.5,0.115302,0.004072,3.36e-07,2.272e-09
071_B09,159.5,0.07685700000000001,0.016216,3.396e-07,2.4e-09
071_B10,168.0,0.090383,0.010869,3.456e-07,3.068e-09
071_B11,171.5,0.091012,0.00615,3.5e-07,3.16e-09
071_B12,183.75,0.096637,0.013233000000000002,3.536e-07,5.920000000000001e-09
071_B13,189.0,0.086644,0.021854,9.92e-08,1.56e-08
030_F01,,,,1.194e-07,8e-08
,,,,,
