location,site,latitude,longitude,year
Death Valley,Badwater Basin (1),36°13.651',-116°46.723',2016
Death Valley,Badwater Basin (2),36°13.674',-116°46.735',2016
Death Valley,Badwater Basin (3),36°13.665',-116°46.820',2016
Death Valley,Badwater Basin (4),36°13.660',-116°46.903',2016
Death Valley,Badwater Basin (5),36°13.654',-116°47.036',2016
Owens Lake,T10-3,36°23.147',-117°56.772',2018
Owens Lake,T16,36°23.953',-117°56.454',2018
Owens Lake,T2-4,36°20.803',-117°58.642',2016
Owens Lake,T2-5 (1),36°21.055',-117°58.824',2016
Owens Lake,T2-5 (2),36°20.895',-117°58.740',2016
Owens Lake,T2-5 (3),36°20.877',-117°58.711,2018
Owens Lake,T25-3 (1),36°27.039',-117°54.510',2018
Owens Lake,T25-3 (2),36°28.383',-117°54.957',2018
Owens Lake,T27-A (1),36°29.302',-117°55.953',2016
Owens Lake,T27-A (2),36°29.061',-117°55.602',2016
Owens Lake,T27-A (3),36°29.112',-117°55.804',2018
Owens Lake,T27-S,36°28.549',-117°54.994',2018
Owens Lake,T29-3 (1),36°29.955',-117°55.999',2016
Owens Lake,T29-3 (2),36°29.960',-117°55.962',2016
Owens Lake,T32-1-L1 (1),36°53.897',-117°57.209',2016
Owens Lake,T32-1-L1 (2),36°32.354',-117°57.218',2018
Owens Lake,T32-1-L1 (3),36°32.337',-117°57.204',2018
Owens Lake,T36-3 (1),36°29.953',-117°58.505',2016
Owens Lake,T36-3 (2),36°30.050',-117°58.518',2016
Owens Lake,T36-3 (3),36°29.724',-117°57.916',2016
Owens Lake,T8-W,36°22.522',-117°57.256',2018
Sua Pan,B7,-20°35.046',25°54.654',2012
Sua Pan,L5,-20°33.996',26°0.420',2012
Sua Pan,D10,-20°36.678',25°55.794',2012
Sua Pan,J11,-20°37.242',25°59.250',2012
Sua Pan,B3,-20°32.880',25°54.672',2012
Sua Pan,D5,-20°33.972',25°55.818',2012
Sua Pan,I4,-20°33.447',25°58.699',2012
