site,pattern_wavelength,stdev_pattern_wavelength,evaporation_rate,uncertainty_evaporation_rate
,[m],[m],[m/s],[m/s]
owens_lake_T27-S_P1,1.507,0.639,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T27-A_P1,1.698,0.649,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T27-A_P2,2.719,0.977,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T29-3_P1,3.016,1.391,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T29-3_P2,2.801,1.333,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T32-1-L1_P1,1.556,0.659,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T32-1-L1_P2,2.65,0.975,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T32-1-L1_P3,2.43,0.915,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T36-3_P1,1.174,0.907,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T36-3_P2,2.268,1.022,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T36-3_P3,1.434,0.611,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T2-5_P1,1.035,0.401,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T2-5_P2,0.94,0.499,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T2-5_P3,1.618,0.649,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T2-4_P1,1.125,0.531,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T27-A_P3,1.445,0.54,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T16_P1,1.392,0.504,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T10-3_P1,1.788,0.855,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T8-W_P1,0.871,0.406,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T25-3_P1,2.252,0.889,4.62962962962963E-09,1.15740740740741E-09
owens_lake_T25-3_P2,1.178,0.558,4.62962962962963E-09,1.15740740740741E-09
badwater_basin_P1,1.423,0.573,3.58796296296296E-09,1.15740740740741E-09
badwater_basin_P2,1.423,0.573,3.58796296296296E-09,1.15740740740741E-09
badwater_basin_P3,1.274,0.546,3.58796296296296E-09,1.15740740740741E-09
badwater_basin_P4,0.581,0.312,3.58796296296296E-09,1.15740740740741E-09
badwater_basin_P5,0.551,0.273,3.58796296296296E-09,1.15740740740741E-09
sua_pan_B7,0.924,0.473,8.10185185185185E-09,5.32407407407407E-09
sua_pan_L5,0.594,0.218,8.10185185185185E-09,5.32407407407407E-09
sua_pan_D10,0.405,0.158,8.10185185185185E-09,5.32407407407407E-09
sua_pan_J11,0.691,0.263,8.10185185185185E-09,5.32407407407407E-09
sua_pan_B3,0.575,0.218,8.10185185185185E-09,5.32407407407407E-09
sua_pan_D5,0.95,0.329,8.10185185185185E-09,5.32407407407407E-09
sua_pan_I4,0.533,0.198,8.10185185185185E-09,5.32407407407407E-09
