label,real time passed,tau (one Ra),tau (cum Ra),T = phi D / E^2,tau_S,T,lambda,relative error lambda,absolute error lambda,E,relative error E,absolute error E,L = phi D / E,lower limit L,upper limit L,a,lower_a,upper_a,lower_error_a,upper_error_a,Ra,lower_Ra,upper_Ra,lower_error_Ra,upper_error_Ra,Pe,notes,Constants,,,
,[h],[T],[T],[h],[h],[tau_S], [m],, [m],[m/s],, [m/s],[m],,,,,,,,,,,,,,,,value,unit,
059_R01,26,16.0037939505459,16.0037939505459,1.62461476824458,0.148714200588878,107.614430143013,0.053678,0.18245836283021,0.009794,2.08E-07,0.384615384615385,8E-08,0.002771057692308,0.002001319444444,0.00450296875,0.324361358054618,0.198113513491098,0.644722155881202,0.12624784456352,0.320360797826584,127.557008653846,92.12450625,207.2801390625,35.4325024038462,79.7231304086538,0.0443,,permeability,1.67E-11,m^2 ,
062_R01,225.25,161.37395320162,161.37395320162,1.39582625034025,0.165961168170519,972.359709084561,0.060903,0.150337421801882,0.009156,2.244E-07,0.023172905525847,5.2E-09,0.002568538324421,0.002510365853659,0.00262947080292,0.264988625534518,0.225140151120537,0.319273625805629,0.039848474413981,0.054285000271112,118.234660427807,115.55687195122,121.039497262774,2.67778847658796,2.80483683496624,0.0478,,abs. Err. Permeability,1.20E-12,m^2 ,
062_B01,408,49.5595139949351,183.572485511851,8.23252625200677,0.048378743484549,3794.48642709129,0.067213,0.145820005058545,0.009801,9.24E-08,0.032727272727273,3.024E-09,0.006237878787879,0.006040199530516,0.006448934837093,0.583127495394786,0.492789531027818,0.705773228861254,0.090337964366969,0.122645733466467,287.141318181818,278.041769366197,296.85662593985,9.09954881562101,9.71530775803143,0.0197,,density difference,162,kg/m^3,
063_B01,185,1601.34116151796,1601.34116151796,0.115528161297392,1.38986729121763,1152.15400177887,0.150451,0.026114814790198,0.003929,7.8E-07,0.201025641025641,1.568E-07,0.000738948717949,0.000615264730999,0.000924871630295,0.030860225105682,0.025040952959191,0.039660527692079,0.005819272146491,0.008800302586397,34.0152023076923,28.3217952604611,42.5735844030809,5.69340704723116,8.55838209538857,0.1660,,kinematic viscosity,0.001,kg/(ms),
064_B02,310,87.4359306086446,1636.59758515048,3.54545320032713,0.085846338271059,19064.2678314705,0.117639,0.097068149168218,0.011419,1.408E-07,0.038352272727273,5.4E-09,0.004093607954545,0.003942407660739,0.004256868537666,0.218642604521929,0.191936012404247,0.251804686974778,0.026706592117681,0.033162082452849,188.436490056818,181.476455540356,195.951682422452,6.96003451646251,7.51519236563382,0.0300,,molecular diffusion NaCl,1.61E-09,m^2/s,
065_R01,161,510.308505088636,6196.59884993426,0.31549542755913,0.52968875087708,11698.5660723844,0.082353,0.208322708340923,0.017156,4.72E-07,0.017372881355932,8.2E-09,0.001221144067797,0.00120029154519,0.001242733937042,0.093168123380201,0.075788664352642,0.119765136646704,0.017379459027559,0.026597013266503,56.2115631355932,55.2516822157434,57.2053855109961,0.95988091984978,0.993822375402893,0.1005,,porosity,0.358,,
065_R02,185.75,448.586487845131,6256.37013162561,0.414078455399503,0.421675036912131,14836.9468997742,0.082389,0.208328781754846,0.017164,4.12E-07,0.009514563106796,3.92E-09,0.001398980582524,0.001385795345259,0.001412419133503,0.106689658099341,0.08746304935148,0.136059657297163,0.019226608747861,0.029369999197821,64.3977131067961,63.7907717830352,65.0163149382474,0.606941323760921,0.618601831451286,0.0877,,grain size,100-200,mu m,
065_R03,216.75,279.021521943261,6296.27632392199,0.776821796721744,0.256568181645418,24540.3630471356,0.078022,0.166799107943913,0.013014,3.008E-07,0.021542553191489,6.48E-09,0.001916156914894,0.001875748502994,0.001958344658875,0.154309925071274,0.129461701238816,0.189278894705819,0.024848223832458,0.034968969634546,88.2043144946809,86.3442391304348,90.1462958684425,1.86007536424607,1.94198137376165,0.0640,,sauter diameter,150.45,mu m,
066_F01,96,50.5596782729937,50.5596782729937,1.89874625945312,0.133006839165546,380.128409863684,0.100553,0.185185921852158,0.018621,1.924E-07,0.039085239085239,7.52E-09,0.002995738045738,0.002883053221289,0.003117589787971,0.187192597666319,0.152002598216205,0.239081120314299,0.035189999450115,0.05188852264798,137.899468814969,132.71237394958,143.508534184336,5.18709486538899,5.60906536936699,0.0410,,abs. Err. Sauter diameter,14.039,mu m,
