Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.0313628,0.0239681,0.0387575,0.393033,0.411798,11.3129,0
0.411798,0.0558185,0.0426808,0.0689562,0.431458,0.452057,11.1783,0.0313628
0.452057,0.0829219,0.0633553,0.102488,0.473639,0.496252,11.0437,0.0871813
0.496252,0.119999,0.0915273,0.148471,0.519944,0.544768,10.9091,0.170103
0.544768,0.153519,0.116685,0.190353,0.570777,0.598027,10.7746,0.290102
0.598027,0.18612,0.14085,0.23139,0.626578,0.656493,10.64,0.443621
0.656493,0.21946,0.165211,0.273709,0.687836,0.720675,10.5054,0.629741
0.720675,0.255668,0.191386,0.31995,0.755082,0.791132,10.3709,0.849201
0.791132,0.29271,0.217623,0.367797,0.828903,0.868477,10.2363,1.10487
0.868477,0.33106,0.244228,0.417892,0.90994,0.953383,10.1017,1.39758
0.953383,0.372001,0.272091,0.471911,0.9989,1.04659,9.96714,1.72864
1.04659,0.416981,0.302255,0.531707,1.09656,1.14891,9.83257,2.10064
1.14891,0.466961,0.335484,0.598438,1.20376,1.26123,9.698,2.51762
1.26123,0.52163,0.371527,0.671733,1.32145,1.38454,9.56343,2.98458
1.38454,0.5813,0.410648,0.751952,1.45064,1.5199,9.42885,3.50621
1.5199,0.646067,0.453072,0.839063,1.59246,1.66849,9.29428,4.08751
1.66849,0.716715,0.499498,0.933932,1.74815,1.83161,9.15971,4.73358
1.83161,0.792539,0.549471,1.03561,1.91906,2.01068,9.02514,5.4503
2.01068,0.872437,0.602279,1.1426,2.10667,2.20725,8.89056,6.24284
2.20725,0.954858,0.657008,1.25271,2.31263,2.42304,8.75599,7.11527
2.42304,1.03858,0.712654,1.36451,2.53872,2.65993,8.62142,8.07013
2.65993,1.12249,0.768637,1.47634,2.78692,2.91998,8.48684,9.10871
2.91998,1.205,0.82382,1.58618,3.05939,3.20545,8.35227,10.2312
3.20545,1.28423,0.87696,1.6915,3.35849,3.51883,8.2177,11.4362
3.51883,1.35794,0.926578,1.7893,3.68682,3.86284,8.08313,12.7204
3.86284,1.42457,0.971576,1.87756,4.04726,4.24049,7.94855,14.0784
4.24049,1.48281,1.01125,1.95437,4.44294,4.65506,7.81398,15.5029
4.65506,1.53176,1.0454,2.01812,4.87731,5.11017,7.6794,16.9858
5.11017,1.57048,1.07348,2.06748,5.35414,5.60976,7.54483,18.5175
5.60976,1.59899,1.09565,2.10233,5.87759,6.1582,7.41025,20.088
6.1582,1.61893,1.11326,2.1246,6.45221,6.76025,7.27568,21.687
6.76025,1.63347,1.12852,2.13842,7.08301,7.42117,7.14111,23.3059
7.42117,1.64644,1.14454,2.14834,7.77547,8.14669,7.00653,24.9394
8.14669,1.66102,1.16396,2.15808,8.53563,8.94315,6.87196,26.5858
8.94315,1.68115,1.19009,2.17221,9.37012,9.81748,6.73738,28.2468
9.81748,1.71201,1.22673,2.19729,10.2862,10.7773,6.6028,29.928
10.7773,1.76103,1.27953,2.24253,11.2918,11.8309,6.46823,31.64
11.8309,1.83307,1.35265,2.31349,12.3958,12.9876,6.33365,33.401
12.9876,1.92585,1.44488,2.40682,13.6076,14.2573,6.19907,35.2341
14.2573,2.02709,1.54759,2.50659,14.938,15.6512,6.0645,37.16
15.6512,2.11939,1.6467,2.59208,16.3984,17.1813,5.92992,39.187
17.1813,2.19172,1.73205,2.65139,18.0016,18.861,5.79534,41.3064
18.861,2.24711,1.80409,2.69013,19.7615,20.705,5.66076,43.4982
20.705,2.30256,1.87499,2.73013,21.6935,22.7292,5.52618,45.7453
22.7292,2.37645,1.96111,2.79179,23.8143,24.9513,5.39161,48.0478
24.9513,2.47594,2.07107,2.88081,26.1425,27.3906,5.25703,50.4243
27.3906,2.58994,2.20038,2.9795,28.6983,30.0685,5.12245,52.9002
30.0685,2.69346,2.33147,3.05545,31.504,33.0081,4.98787,55.4902
33.0081,2.76127,2.44357,3.07897,34.584,36.2352,4.85328,58.1836
36.2352,2.78109,2.52395,3.03823,37.9652,39.7777,4.7187,60.9449
39.7777,2.7608,2.57267,2.94893,41.6768,43.6665,4.58412,63.726
43.6665,2.72188,2.5998,2.84396,45.7513,47.9356,4.44954,66.4868
47.9356,2.68603,2.60623,2.76583,50.2242,52.622,4.31495,69.2087
52.622,2.6623,2.55912,2.76548,55.1343,57.7666,4.18036,71.8947
57.7666,2.64049,2.4611,2.81988,60.5245,63.4141,4.04578,74.557
63.4141,2.59683,2.30987,2.88379,66.4417,69.6138,3.91119,77.1975
69.6138,2.50633,2.08531,2.92735,72.9374,76.4196,3.7766,79.7943
76.4196,2.35872,1.78658,2.93086,80.0681,83.8907,3.64201,82.3007
83.8907,2.16826,1.45189,2.88463,87.8959,92.0923,3.50742,84.6594
92.0923,1.9653,1.13627,2.79433,96.4892,101.096,3.37282,86.8276
101.096,1.77953,0.887019,2.67204,105.922,110.979,3.23822,88.7929
110.979,1.62167,0.714245,2.5291,116.278,121.829,3.10363,90.5725
121.829,1.47741,0.582704,2.37212,127.646,133.74,2.96902,92.1941
133.74,1.3197,0.438279,2.20112,140.125,146.815,2.83441,93.6715
146.815,1.12735,0.237846,2.01685,153.824,161.168,2.69981,94.9912
161.168,0.90077,0,1.8178,168.863,176.925,2.56519,96.1186
176.925,0.665963,0,1.60111,185.372,194.222,2.43057,97.0194
194.222,0.463502,0,1.3481,203.495,213.21,2.29595,97.6853
213.21,0.306596,0,1.05774,223.389,234.054,2.16132,98.1488
234.054,0.192528,0,0.753057,245.228,256.936,2.02669,98.4554
256.936,0.11075,0,0.474636,269.203,282.056,1.89204,98.648
282.056,0.063031,0,0.27975,295.522,309.631,1.75737,98.7587
309.631,0.0452403,0,0.201957,324.414,339.902,1.6227,98.8217
339.902,0.0537156,0,0.239792,356.13,373.132,1.48801,98.867
373.132,0.0878251,0,0.39206,390.946,409.611,1.35329,98.9207
409.611,0.139332,0,0.621991,429.167,449.657,1.21853,99.0085
