Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.03999,0.00138401,0.00108546,0.00168256,0.0418992,0.0438996,14.5426,0
0.0438996,0.00168828,0.00134447,0.00203209,0.0459955,0.0481915,14.408,0.00138401
0.0481915,0.00248808,0.00201485,0.00296131,0.0504923,0.0529029,14.2734,0.00307229
0.0529029,0.0046418,0.00382905,0.00545455,0.0554286,0.0580749,14.1389,0.00556037
0.0580749,0.00980795,0.00807512,0.0115408,0.0608476,0.0637526,14.0043,0.0102022
0.0637526,0.0192973,0.015648,0.0229466,0.0667963,0.0699854,13.8697,0.0200101
0.0699854,0.0319766,0.025305,0.0386482,0.0733267,0.0768275,13.7351,0.0393074
0.0768275,0.0441887,0.0344148,0.0539626,0.0804954,0.0843385,13.6006,0.071284
0.0843385,0.0556932,0.0429208,0.0684656,0.088365,0.0925838,13.466,0.115473
0.0925838,0.067502,0.0516565,0.0833475,0.0970039,0.101635,13.3314,0.171166
0.101635,0.0802229,0.0608213,0.0996245,0.106488,0.111572,13.1969,0.238668
0.111572,0.0924238,0.0694014,0.115446,0.116898,0.122479,13.0623,0.318891
0.122479,0.103737,0.0772758,0.130198,0.128327,0.134454,12.9277,0.411315
0.134454,0.114939,0.0849674,0.144911,0.140873,0.147598,12.7931,0.515052
0.147598,0.125693,0.092122,0.159264,0.154645,0.162028,12.6586,0.629991
0.162028,0.136014,0.0987777,0.17325,0.169764,0.177869,12.524,0.755684
0.177869,0.145926,0.105014,0.186838,0.186361,0.195258,12.3894,0.891698
0.195258,0.156057,0.111334,0.20078,0.20458,0.214348,12.2549,1.03762
0.214348,0.166069,0.117387,0.214751,0.224581,0.235303,12.1203,1.19368
0.235303,0.175467,0.122911,0.228023,0.246537,0.258308,11.9857,1.35975
0.258308,0.183529,0.127588,0.23947,0.27064,0.283561,11.8511,1.53522
0.283561,0.190148,0.131531,0.248765,0.297099,0.311283,11.7166,1.71875
0.311283,0.194806,0.134482,0.25513,0.326145,0.341716,11.582,1.90889
0.341716,0.197606,0.13649,0.258722,0.358031,0.375124,11.4474,2.1037
0.375124,0.198787,0.137677,0.259897,0.393033,0.411798,11.3129,2.30131
0.411798,0.199575,0.138964,0.260186,0.431458,0.452057,11.1783,2.50009
0.452057,0.200232,0.140465,0.259999,0.473639,0.496252,11.0437,2.69967
0.496252,0.201095,0.142396,0.259794,0.519944,0.544768,10.9091,2.8999
0.544768,0.202529,0.144909,0.260149,0.570777,0.598027,10.7746,3.10099
0.598027,0.205807,0.148903,0.262711,0.626578,0.656493,10.64,3.30352
0.656493,0.211717,0.154878,0.268556,0.687836,0.720675,10.5054,3.50933
0.720675,0.220796,0.16316,0.278432,0.755082,0.791132,10.3709,3.72105
0.791132,0.233448,0.173881,0.293015,0.828903,0.868477,10.2363,3.94184
0.868477,0.250496,0.187635,0.313357,0.90994,0.953383,10.1017,4.17529
0.953383,0.272702,0.204859,0.340545,0.9989,1.04659,9.96714,4.42579
1.04659,0.300408,0.225715,0.375101,1.09656,1.14891,9.83257,4.69849
1.14891,0.333237,0.249907,0.416567,1.20376,1.26123,9.698,4.9989
1.26123,0.370299,0.27675,0.463848,1.32145,1.38454,9.56343,5.33213
1.38454,0.410745,0.305599,0.515891,1.45064,1.5199,9.42885,5.70243
1.5199,0.453743,0.336006,0.57148,1.59246,1.66849,9.29428,6.11318
1.66849,0.49851,0.367374,0.629646,1.74815,1.83161,9.15971,6.56692
1.83161,0.543949,0.39902,0.688878,1.91906,2.01068,9.02514,7.06543
2.01068,0.58927,0.430382,0.748158,2.10667,2.20725,8.89056,7.60938
2.20725,0.634118,0.461386,0.80685,2.31263,2.42304,8.75599,8.19865
2.42304,0.678754,0.492303,0.865205,2.53872,2.65993,8.62142,8.83277
2.65993,0.723533,0.52354,0.923526,2.78692,2.91998,8.48684,9.51152
2.91998,0.768459,0.554976,0.981942,3.05939,3.20545,8.35227,10.2351
3.20545,0.813127,0.586301,1.03995,3.35849,3.51883,8.2177,11.0035
3.51883,0.856835,0.616989,1.09668,3.68682,3.86284,8.08313,11.8166
3.86284,0.898832,0.64631,1.15135,4.04726,4.24049,7.94855,12.6735
4.24049,0.937856,0.673339,1.20237,4.44294,4.65506,7.81398,13.5723
4.65506,0.9722,0.696622,1.24778,4.87731,5.11017,7.6794,14.5102
5.11017,0.999998,0.714797,1.2852,5.35414,5.60976,7.54483,15.4824
5.60976,1.02043,0.727385,1.31348,5.87759,6.1582,7.41025,16.4824
6.1582,1.03416,0.73513,1.33319,6.45221,6.76025,7.27568,17.5028
6.76025,1.04278,0.739529,1.34603,7.08301,7.42117,7.14111,18.537
7.42117,1.04765,0.741907,1.35339,7.77547,8.14669,7.00653,19.5797
8.14669,1.04949,0.743345,1.35564,8.53563,8.94315,6.87196,20.6274
8.94315,1.05013,0.745525,1.35474,9.37012,9.81748,6.73738,21.6769
9.81748,1.05314,0.751318,1.35496,10.2862,10.7773,6.6028,22.727
10.7773,1.06377,0.764503,1.36304,11.2918,11.8309,6.46823,23.7801
11.8309,1.08412,0.786117,1.38212,12.3958,12.9876,6.33365,24.8439
12.9876,1.10951,0.811971,1.40705,13.6076,14.2573,6.19907,25.928
14.2573,1.12818,0.832513,1.42385,14.938,15.6512,6.0645,27.0375
15.6512,1.12764,0.837877,1.4174,16.3984,17.1813,5.92992,28.1657
17.1813,1.10473,0.825642,1.38382,18.0016,18.861,5.79534,29.2934
18.861,1.06932,0.803339,1.3353,19.7615,20.705,5.66076,30.3981
20.705,1.03964,0.785416,1.29386,21.6935,22.7292,5.52618,31.4674
22.7292,1.03001,0.783278,1.27674,23.8143,24.9513,5.39161,32.507
24.9513,1.04185,0.798927,1.28477,26.1425,27.3906,5.25703,33.5371
27.3906,1.062,0.823392,1.30061,28.6983,30.0685,5.12245,34.5789
30.0685,1.06954,0.841312,1.29777,31.504,33.0081,4.98787,35.6409
