Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.03999,0.000570366,0.000535562,0.00060517,0.0418992,0.0438996,14.5426,0
0.0438996,0.000713009,0.000675323,0.000750695,0.0459955,0.0481915,14.408,0.000570366
0.0481915,0.00107905,0.00103272,0.00112538,0.0504923,0.0529029,14.2734,0.00128337
0.0529029,0.00209348,0.00202384,0.00216312,0.0554286,0.0580749,14.1389,0.00236242
0.0580749,0.00442436,0.00427246,0.00457626,0.0608476,0.0637526,14.0043,0.0044559
0.0637526,0.00843268,0.00807658,0.00878878,0.0667963,0.0699854,13.8697,0.00888026
0.0699854,0.0132208,0.012531,0.0139106,0.0733267,0.0768275,13.7351,0.0173129
0.0768275,0.0176339,0.0166203,0.0186475,0.0804954,0.0843385,13.6006,0.0305337
0.0843385,0.0218093,0.0205064,0.0231122,0.088365,0.0925838,13.466,0.0481676
0.0925838,0.0261681,0.02457,0.0277662,0.0970039,0.101635,13.3314,0.0699769
0.101635,0.030632,0.0287115,0.0325525,0.106488,0.111572,13.1969,0.096145
0.111572,0.0348596,0.0326322,0.037087,0.116898,0.122479,13.0623,0.126777
0.122479,0.0390374,0.0365039,0.0415709,0.128327,0.134454,12.9277,0.161637
0.134454,0.0431452,0.0402989,0.0459915,0.140873,0.147598,12.7931,0.200674
0.147598,0.0467673,0.0436242,0.0499104,0.154645,0.162028,12.6586,0.243819
0.162028,0.0501995,0.0467907,0.0536083,0.169764,0.177869,12.524,0.290587
0.177869,0.0538185,0.0501305,0.0575065,0.186361,0.195258,12.3894,0.340786
0.195258,0.0577209,0.0537063,0.0617355,0.20458,0.214348,12.2549,0.394605
0.214348,0.0615349,0.0571688,0.065901,0.224581,0.235303,12.1203,0.452325
0.235303,0.0652879,0.0605486,0.0700272,0.246537,0.258308,11.9857,0.51386
0.258308,0.0691279,0.0640175,0.0742383,0.27064,0.283561,11.8511,0.579148
0.283561,0.0727043,0.0672198,0.0781888,0.297099,0.311283,11.7166,0.648276
0.311283,0.0760028,0.0701835,0.0818221,0.326145,0.341716,11.582,0.72098
0.341716,0.0790379,0.0728922,0.0851836,0.358031,0.375124,11.4474,0.796983
0.375124,0.082142,0.0756343,0.0886497,0.393033,0.411798,11.3129,0.876021
0.411798,0.0850581,0.0782012,0.091915,0.431458,0.452057,11.1783,0.958163
0.452057,0.0878577,0.0806475,0.0950679,0.473639,0.496252,11.0437,1.04322
0.496252,0.0905514,0.0829796,0.0981232,0.519944,0.544768,10.9091,1.13108
0.544768,0.0933077,0.085353,0.101262,0.570777,0.598027,10.7746,1.22163
0.598027,0.0960646,0.0877053,0.104424,0.626578,0.656493,10.64,1.31494
0.656493,0.0988768,0.090066,0.107688,0.687836,0.720675,10.5054,1.411
0.720675,0.101833,0.0925785,0.111088,0.755082,0.791132,10.3709,1.50988
0.791132,0.105064,0.0953194,0.114809,0.828903,0.868477,10.2363,1.61171
0.868477,0.108764,0.0984709,0.119057,0.90994,0.953383,10.1017,1.71678
0.953383,0.113153,0.102251,0.124055,0.9989,1.04659,9.96714,1.82554
1.04659,0.118541,0.106937,0.130145,1.09656,1.14891,9.83257,1.93869
1.14891,0.12524,0.112856,0.137624,1.20376,1.26123,9.698,2.05723
1.26123,0.133583,0.120301,0.146865,1.32145,1.38454,9.56343,2.18247
1.38454,0.143878,0.129563,0.158193,1.45064,1.5199,9.42885,2.31606
1.5199,0.156432,0.140927,0.171937,1.59246,1.66849,9.29428,2.45994
1.66849,0.17165,0.154778,0.188522,1.74815,1.83161,9.15971,2.61637
1.83161,0.189883,0.171479,0.208287,1.91906,2.01068,9.02514,2.78802
2.01068,0.211437,0.191257,0.231617,2.10667,2.20725,8.89056,2.9779
2.20725,0.236457,0.214198,0.258716,2.31263,2.42304,8.75599,3.18934
2.42304,0.265063,0.240535,0.289591,2.53872,2.65993,8.62142,3.42579
2.65993,0.297349,0.270252,0.324446,2.78692,2.91998,8.48684,3.69086
2.91998,0.333264,0.303309,0.363219,3.05939,3.20545,8.35227,3.98821
3.20545,0.372625,0.339352,0.405898,3.35849,3.51883,8.2177,4.32147
3.51883,0.414895,0.378084,0.451706,3.68682,3.86284,8.08313,4.6941
3.86284,0.45957,0.419068,0.500072,4.04726,4.24049,7.94855,5.10899
4.24049,0.506039,0.461485,0.550593,4.44294,4.65506,7.81398,5.56856
4.65506,0.553865,0.504728,0.603002,4.87731,5.11017,7.6794,6.0746
5.11017,0.602422,0.548787,0.656057,5.35414,5.60976,7.54483,6.62846
5.60976,0.651091,0.592345,0.709837,5.87759,6.1582,7.41025,7.23089
6.1582,0.699507,0.635613,0.763401,6.45221,6.76025,7.27568,7.88198
6.76025,0.747578,0.678476,0.81668,7.08301,7.42117,7.14111,8.58148
7.42117,0.795768,0.72112,0.870416,7.77547,8.14669,7.00653,9.32906
8.14669,0.844105,0.763959,0.924251,8.53563,8.94315,6.87196,10.1248
8.94315,0.892984,0.806818,0.97915,9.37012,9.81748,6.73738,10.9689
9.81748,0.942382,0.849974,1.03479,10.2862,10.7773,6.6028,11.8619
10.7773,0.993569,0.895021,1.09212,11.2918,11.8309,6.46823,12.8043
11.8309,1.0474,0.94215,1.15265,12.3958,12.9876,6.33365,13.7979
12.9876,1.10425,0.991931,1.21657,13.6076,14.2573,6.19907,14.8453
14.2573,1.16249,1.0422,1.28278,14.938,15.6512,6.0645,15.9495
15.6512,1.21953,1.09081,1.34825,16.3984,17.1813,5.92992,17.112
17.1813,1.27495,1.13673,1.41317,18.0016,18.861,5.79534,18.3315
18.861,1.33118,1.18203,1.48033,19.7615,20.705,5.66076,19.6065
20.705,1.39491,1.2325,1.55732,21.6935,22.7292,5.52618,20.9377
22.7292,1.47193,1.29352,1.65034,23.8143,24.9513,5.39161,22.3326
24.9513,1.56443,1.36682,1.76204,26.1425,27.3906,5.25703,23.8045
27.3906,1.66804,1.44841,1.88767,28.6983,30.0685,5.12245,25.3689
