
Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.03999,0.000584641,0.000530268,0.000639014,0.0418992,0.0438996,14.5426,0
0.0438996,0.000723326,0.000661753,0.000784899,0.0459955,0.0481915,14.408,0.000584641
0.0481915,0.00108128,0.000999297,0.00116326,0.0504923,0.0529029,14.2734,0.00130797
0.0529029,0.00207021,0.00193346,0.00220696,0.0554286,0.0580749,14.1389,0.00238925
0.0580749,0.00438023,0.00408742,0.00467304,0.0608476,0.0637526,14.0043,0.00445946
0.0637526,0.00843183,0.00780643,0.00905723,0.0667963,0.0699854,13.8697,0.00883969
0.0699854,0.0134114,0.0122747,0.0145481,0.0733267,0.0768275,13.7351,0.0172715
0.0768275,0.0180225,0.0164025,0.0196425,0.0804954,0.0843385,13.6006,0.0306829
0.0843385,0.0223647,0.0203075,0.0244219,0.088365,0.0925838,13.466,0.0487054
0.0925838,0.0268795,0.0243865,0.0293725,0.0970039,0.101635,13.3314,0.0710701
0.101635,0.0315422,0.028576,0.0345084,0.106488,0.111572,13.1969,0.0979496
0.111572,0.0359693,0.0325602,0.0393784,0.116898,0.122479,13.0623,0.129492
0.122479,0.0402815,0.0364809,0.0440821,0.128327,0.134454,12.9277,0.165461
0.134454,0.044587,0.0403425,0.0488315,0.140873,0.147598,12.7931,0.205743
0.147598,0.0483914,0.0437725,0.0530103,0.154645,0.162028,12.6586,0.25033
0.162028,0.0520122,0.0470562,0.0569682,0.169764,0.177869,12.524,0.298721
0.177869,0.0557524,0.0504794,0.0610254,0.186361,0.195258,12.3894,0.350733
0.195258,0.0598608,0.0542036,0.065518,0.20458,0.214348,12.2549,0.406486
0.214348,0.0639117,0.0578957,0.0699277,0.224581,0.235303,12.1203,0.466346
0.235303,0.0679256,0.0615363,0.0743149,0.246537,0.258308,11.9857,0.530258
0.258308,0.0719836,0.065282,0.0786851,0.27064,0.283561,11.8511,0.598184
0.283561,0.0758024,0.0687853,0.0828195,0.297099,0.311283,11.7166,0.670167
0.311283,0.0793414,0.0720807,0.0866021,0.326145,0.341716,11.582,0.74597
0.341716,0.0825809,0.0751328,0.090029,0.358031,0.375124,11.4474,0.825311
0.375124,0.0858393,0.0782594,0.0934192,0.393033,0.411798,11.3129,0.907892
0.411798,0.0889378,0.0812083,0.0966673,0.431458,0.452057,11.1783,0.993731
0.452057,0.0919646,0.0841413,0.0997879,0.473639,0.496252,11.0437,1.08267
0.496252,0.0948878,0.0869639,0.102812,0.519944,0.544768,10.9091,1.17463
0.544768,0.0978415,0.0898891,0.105794,0.570777,0.598027,10.7746,1.26952
0.598027,0.100828,0.0928477,0.108808,0.626578,0.656493,10.64,1.36736
0.656493,0.10394,0.095888,0.111992,0.687836,0.720675,10.5054,1.46819
0.720675,0.107254,0.0991006,0.115407,0.755082,0.791132,10.3709,1.57213
0.791132,0.110865,0.102579,0.119151,0.828903,0.868477,10.2363,1.67939
0.868477,0.115017,0.106492,0.123542,0.90994,0.953383,10.1017,1.79025
0.953383,0.119996,0.111088,0.128904,0.9989,1.04659,9.96714,1.90527
1.04659,0.126154,0.11663,0.135678,1.09656,1.14891,9.83257,2.02526
1.14891,0.133783,0.123372,0.144194,1.20376,1.26123,9.698,2.15142
1.26123,0.143201,0.131632,0.15477,1.32145,1.38454,9.56343,2.2852
1.38454,0.154741,0.141689,0.167793,1.45064,1.5199,9.42885,2.4284
1.5199,0.168741,0.153851,0.183631,1.59246,1.66849,9.29428,2.58314
1.66849,0.185589,0.168528,0.20265,1.74815,1.83161,9.15971,2.75188
1.83161,0.20553,0.185951,0.225109,1.91906,2.01068,9.02514,2.93747
2.01068,0.228772,0.20643,0.251114,2.10667,2.20725,8.89056,3.143
2.20725,0.255414,0.230054,0.280774,2.31263,2.42304,8.75599,3.37177
2.42304,0.285577,0.257015,0.314139,2.53872,2.65993,8.62142,3.62719
2.65993,0.31929,0.28732,0.35126,2.78692,2.91998,8.48684,3.91277
2.91998,0.3564,0.320845,0.391955,3.05939,3.20545,8.35227,4.23206
3.20545,0.396649,0.357449,0.435849,3.35849,3.51883,8.2177,4.58846
3.51883,0.439582,0.396559,0.482605,3.68682,3.86284,8.08313,4.9851
3.86284,0.484849,0.43783,0.531868,4.04726,4.24049,7.94855,5.42469
4.24049,0.531874,0.480859,0.582889,4.44294,4.65506,7.81398,5.90953
4.65506,0.580099,0.525475,0.634723,4.87731,5.11017,7.6794,6.44141
5.11017,0.628842,0.570692,0.686992,5.35414,5.60976,7.54483,7.02151
5.60976,0.67775,0.616682,0.738818,5.87759,6.1582,7.41025,7.65035
6.1582,0.726797,0.663079,0.790515,6.45221,6.76025,7.27568,8.3281
6.76025,0.776049,0.709881,0.842217,7.08301,7.42117,7.14111,9.0549
7.42117,0.82585,0.757217,0.894483,7.77547,8.14669,7.00653,9.83095
8.14669,0.876378,0.805464,0.947292,8.53563,8.94315,6.87196,10.6568
8.94315,0.928797,0.854634,1.00296,9.37012,9.81748,6.73738,11.5332
9.81748,0.98431,0.905931,1.06269,10.2862,10.7773,6.6028,12.462
10.7773,1.0447,0.960251,1.12915,11.2918,11.8309,6.46823,13.4463
11.8309,1.11018,1.01784,1.20252,12.3958,12.9876,6.33365,14.491
12.9876,1.18036,1.07857,1.28215,13.6076,14.2573,6.19907,15.6012
14.2573,1.25384,1.14154,1.36614,14.938,15.6512,6.0645,16.7815
15.6512,1.32883,1.20612,1.45154,16.3984,17.1813,5.92992,18.0354
17.1813,1.40416,1.27171,1.53661,18.0016,18.861,5.79534,19.3642
18.861,1.47875,1.33858,1.61892,19.7615,20.705,5.66076,20.7684
20.705,1.555,1.40853,1.70147,21.6935,22.7292,5.52618,22.2471
22.7292,1.63829,1.48594,1.79064,23.8143,24.9513,5.39161,23.8021
24.9513,1.73864,1.57791,1.89937,26.1425,27.3906,5.25703,25.4404
27.3906,1.8679,1.6927,2.0431,28.6983,30.0685,5.12245,27.179
