Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0159865,0.0147919,0.0171811,0.393033,0.411798,11.3129,0
0.411798,0.0285125,0.0263828,0.0306422,0.431458,0.452057,11.1783,0.0159865
0.452057,0.0422432,0.0390959,0.0453906,0.473639,0.496252,11.0437,0.044499
0.496252,0.0606452,0.0560997,0.0651907,0.519944,0.544768,10.9091,0.0867422
0.544768,0.0763406,0.0705598,0.0821214,0.570777,0.598027,10.7746,0.147387
0.598027,0.09073,0.0837874,0.0976726,0.626578,0.656493,10.64,0.223728
0.656493,0.104453,0.0963514,0.112555,0.687836,0.720675,10.5054,0.314458
0.720675,0.118457,0.109143,0.127771,0.755082,0.791132,10.3709,0.418911
0.791132,0.131228,0.120727,0.141729,0.828903,0.868477,10.2363,0.537368
0.868477,0.142854,0.13119,0.154518,0.90994,0.953383,10.1017,0.668596
0.953383,0.153782,0.140952,0.166612,0.9989,1.04659,9.96714,0.81145
1.04659,0.164645,0.150567,0.178723,1.09656,1.14891,9.83257,0.965232
1.14891,0.175917,0.160485,0.191349,1.20376,1.26123,9.698,1.12988
1.26123,0.187574,0.170701,0.204447,1.32145,1.38454,9.56343,1.30579
1.38454,0.20012,0.181662,0.218578,1.45064,1.5199,9.42885,1.49337
1.5199,0.213967,0.1938,0.234134,1.59246,1.66849,9.29428,1.69349
1.66849,0.230034,0.207965,0.252103,1.74815,1.83161,9.15971,1.90745
1.83161,0.248472,0.224285,0.272659,1.91906,2.01068,9.02514,2.13749
2.01068,0.269421,0.24291,0.295932,2.10667,2.20725,8.89056,2.38596
2.20725,0.292809,0.263784,0.321834,2.31263,2.42304,8.75599,2.65538
2.42304,0.318783,0.28704,0.350526,2.53872,2.65993,8.62142,2.94819
2.65993,0.347453,0.312766,0.38214,2.78692,2.91998,8.48684,3.26697
2.91998,0.378665,0.340791,0.416539,3.05939,3.20545,8.35227,3.61443
3.20545,0.412132,0.371112,0.453152,3.35849,3.51883,8.2177,3.99309
