Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.03999,0.000164704,0.000130995,0.000198413,0.0418992,0.0438996,14.5426,0
0.0438996,0.000211412,0.000168056,0.000254768,0.0459955,0.0481915,14.408,0.000164704
0.0481915,0.000329426,0.000261531,0.000397321,0.0504923,0.0529029,14.2734,0.000376116
0.0529029,0.000648374,0.000511071,0.000785677,0.0554286,0.0580749,14.1389,0.000705542
0.0580749,0.00136038,0.00107131,0.00164945,0.0608476,0.0637526,14.0043,0.00135392
0.0637526,0.00257033,0.00203777,0.00310289,0.0667963,0.0699854,13.8697,0.0027143
0.0699854,0.00402151,0.00322991,0.00481311,0.0733267,0.0768275,13.7351,0.00528463
0.0768275,0.00540695,0.00438596,0.00642794,0.0804954,0.0843385,13.6006,0.00930614
0.0843385,0.00675683,0.0055186,0.00799506,0.088365,0.0925838,13.466,0.0147131
0.0925838,0.0082117,0.00674545,0.00967795,0.0970039,0.101635,13.3314,0.0214699
0.101635,0.00975366,0.00806727,0.0114401,0.106488,0.111572,13.1969,0.0296816
0.111572,0.0112604,0.00937602,0.0131448,0.116898,0.122479,13.0623,0.0394353
0.122479,0.012775,0.0106893,0.0148607,0.128327,0.134454,12.9277,0.0506957
0.134454,0.0143313,0.0120617,0.0166009,0.140873,0.147598,12.7931,0.0634707
0.147598,0.0158844,0.0134685,0.0183003,0.154645,0.162028,12.6586,0.077802
0.162028,0.0174661,0.0149254,0.0200068,0.169764,0.177869,12.524,0.0936864
0.177869,0.0191799,0.0165025,0.0218573,0.186361,0.195258,12.3894,0.111152
0.195258,0.0210989,0.0182941,0.0239037,0.20458,0.214348,12.2549,0.130332
0.214348,0.0232099,0.0203041,0.0261157,0.224581,0.235303,12.1203,0.151431
0.235303,0.0255228,0.0225563,0.0284893,0.246537,0.258308,11.9857,0.174641
0.258308,0.0280402,0.0249985,0.0310819,0.27064,0.283561,11.8511,0.200164
0.283561,0.0307033,0.0276257,0.0337809,0.297099,0.311283,11.7166,0.228204
0.311283,0.0334391,0.0303023,0.0365759,0.326145,0.341716,11.582,0.258907
0.341716,0.0362768,0.0331366,0.039417,0.358031,0.375124,11.4474,0.292347
0.375124,0.0393104,0.0361251,0.0424957,0.393033,0.411798,11.3129,0.328623
0.411798,0.0426084,0.0393993,0.0458175,0.431458,0.452057,11.1783,0.367934
0.452057,0.0461748,0.0428792,0.0494704,0.473639,0.496252,11.0437,0.410542
0.496252,0.0500142,0.0466737,0.0533547,0.519944,0.544768,10.9091,0.456717
0.544768,0.0541775,0.05069,0.0576651,0.570777,0.598027,10.7746,0.506731
0.598027,0.0587131,0.0549844,0.0624418,0.626578,0.656493,10.64,0.560909
0.656493,0.0636533,0.0596139,0.0676927,0.687836,0.720675,10.5054,0.619622
0.720675,0.069,0.0645279,0.0734721,0.755082,0.791132,10.3709,0.683275
0.791132,0.0748002,0.0697941,0.0798063,0.828903,0.868477,10.2363,0.752275
0.868477,0.0811018,0.0753926,0.086811,0.90994,0.953383,10.1017,0.827075
0.953383,0.0879708,0.0813848,0.0945568,0.9989,1.04659,9.96714,0.908177
1.04659,0.0954047,0.0877955,0.103014,1.09656,1.14891,9.83257,0.996148
1.14891,0.103418,0.0946258,0.11221,1.20376,1.26123,9.698,1.09155
1.26123,0.111961,0.101802,0.12212,1.32145,1.38454,9.56343,1.19497
1.38454,0.121012,0.109347,0.132677,1.45064,1.5199,9.42885,1.30693
1.5199,0.130482,0.117182,0.143782,1.59246,1.66849,9.29428,1.42794
1.66849,0.140341,0.125307,0.155375,1.74815,1.83161,9.15971,1.55843
1.83161,0.150529,0.133703,0.167355,1.91906,2.01068,9.02514,1.69877
2.01068,0.160989,0.142349,0.179629,2.10667,2.20725,8.89056,1.8493
2.20725,0.171649,0.151277,0.192021,2.31263,2.42304,8.75599,2.01028
2.42304,0.182403,0.160412,0.204394,2.53872,2.65993,8.62142,2.18193
2.65993,0.193245,0.169847,0.216643,2.78692,2.91998,8.48684,2.36434
2.91998,0.204123,0.17953,0.228716,3.05939,3.20545,8.35227,2.55758
3.20545,0.215102,0.189592,0.240612,3.35849,3.51883,8.2177,2.7617
3.51883,0.226064,0.19998,0.252148,3.68682,3.86284,8.08313,2.97681
3.86284,0.237009,0.210754,0.263264,4.04726,4.24049,7.94855,3.20287
4.24049,0.247904,0.221815,0.273993,4.44294,4.65506,7.81398,3.43988
4.65506,0.258904,0.233325,0.284483,4.87731,5.11017,7.6794,3.68778
5.11017,0.270148,0.245344,0.294952,5.35414,5.60976,7.54483,3.94669
5.60976,0.281696,0.257919,0.305473,5.87759,6.1582,7.41025,4.21684
6.1582,0.29382,0.271086,0.316554,6.45221,6.76025,7.27568,4.49853
6.76025,0.306708,0.284863,0.328553,7.08301,7.42117,7.14111,4.79235
7.42117,0.321188,0.29989,0.342486,7.77547,8.14669,7.00653,5.09906
8.14669,0.337762,0.316845,0.358679,8.53563,8.94315,6.87196,5.42025
8.94315,0.357557,0.336453,0.378661,9.37012,9.81748,6.73738,5.75801
9.81748,0.381098,0.360106,0.40209,10.2862,10.7773,6.6028,6.11557
10.7773,0.409912,0.389121,0.430703,11.2918,11.8309,6.46823,6.49667
11.8309,0.444976,0.42471,0.465242,12.3958,12.9876,6.33365,6.90658
12.9876,0.487147,0.467736,0.506558,13.6076,14.2573,6.19907,7.35155
14.2573,0.535865,0.517022,0.554708,14.938,15.6512,6.0645,7.8387
15.6512,0.589375,0.571088,0.607662,16.3984,17.1813,5.92992,8.37457
17.1813,0.64607,0.628712,0.663428,18.0016,18.861,5.79534,8.96394
18.861,0.703775,0.685927,0.721623,19.7615,20.705,5.66076,9.61001
20.705,0.761424,0.742799,0.78005,21.6935,22.7292,5.52618,10.3138
22.7292,0.816465,0.796631,0.836299,23.8143,24.9513,5.39161,11.0752
24.9513,0.865913,0.844823,0.887003,26.1425,27.3906,5.25703,11.8917
