Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0152829,0.0150307,0.0155351,0.393033,0.411798,11.3129,0
0.411798,0.0272682,0.0268182,0.0277182,0.431458,0.452057,11.1783,0.0152829
0.452057,0.0403696,0.0397214,0.0410178,0.473639,0.496252,11.0437,0.0425511
0.496252,0.0578455,0.0568948,0.0587962,0.519944,0.544768,10.9091,0.0829207
0.544768,0.0725769,0.0715396,0.0736142,0.570777,0.598027,10.7746,0.140766
0.598027,0.0859158,0.084655,0.0871766,0.626578,0.656493,10.64,0.213343
0.656493,0.0984561,0.0972312,0.099681,0.687836,0.720675,10.5054,0.299259
0.720675,0.111084,0.109936,0.112232,0.755082,0.791132,10.3709,0.397715
0.791132,0.122314,0.121357,0.123271,0.828903,0.868477,10.2363,0.508799
0.868477,0.132253,0.131481,0.133025,0.90994,0.953383,10.1017,0.631113
0.953383,0.141361,0.140699,0.142023,0.9989,1.04659,9.96714,0.763366
1.04659,0.150304,0.148803,0.151805,1.09656,1.14891,9.83257,0.904727
1.14891,0.159609,0.157159,0.162059,1.20376,1.26123,9.698,1.05503
1.26123,0.169345,0.16551,0.17318,1.32145,1.38454,9.56343,1.21464
1.38454,0.180095,0.174732,0.185458,1.45064,1.5199,9.42885,1.38399
1.5199,0.192343,0.185061,0.199625,1.59246,1.66849,9.29428,1.56408
1.66849,0.207029,0.197651,0.216407,1.74815,1.83161,9.15971,1.75642
1.83161,0.224328,0.21268,0.235976,1.91906,2.01068,9.02514,1.96345
2.01068,0.24436,0.230141,0.258579,2.10667,2.20725,8.89056,2.18778
2.20725,0.266983,0.250116,0.28385,2.31263,2.42304,8.75599,2.43214
2.42304,0.292193,0.272478,0.311908,2.53872,2.65993,8.62142,2.69912
2.65993,0.319899,0.297365,0.342433,2.78692,2.91998,8.48684,2.99132
2.91998,0.349739,0.324487,0.374991,3.05939,3.20545,8.35227,3.31121
3.20545,0.381217,0.35302,0.409414,3.35849,3.51883,8.2177,3.66095
