Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.0184317,0.0177898,0.0190736,0.393033,0.411798,11.3129,0
0.411798,0.0328656,0.0317164,0.0340148,0.431458,0.452057,11.1783,0.0184317
0.452057,0.0488136,0.0471198,0.0505074,0.473639,0.496252,11.0437,0.0512973
0.496252,0.0704408,0.0680446,0.072837,0.519944,0.544768,10.9091,0.100111
0.544768,0.0894355,0.0865095,0.0923616,0.570777,0.598027,10.7746,0.170552
0.598027,0.10744,0.104099,0.110781,0.626578,0.656493,10.64,0.259987
0.656493,0.125227,0.121574,0.12888,0.687836,0.720675,10.5054,0.367427
0.720675,0.143936,0.14005,0.147822,0.755082,0.791132,10.3709,0.492654
0.791132,0.161896,0.157948,0.165845,0.828903,0.868477,10.2363,0.63659
0.868477,0.179236,0.175406,0.183067,0.90994,0.953383,10.1017,0.798486
0.953383,0.196356,0.192822,0.199891,0.9989,1.04659,9.96714,0.977722
1.04659,0.213777,0.210678,0.216877,1.09656,1.14891,9.83257,1.17408
1.14891,0.231783,0.229196,0.23437,1.20376,1.26123,9.698,1.38786
1.26123,0.250123,0.248014,0.252233,1.32145,1.38454,9.56343,1.61964
1.38454,0.269115,0.267057,0.271173,1.45064,1.5199,9.42885,1.86976
1.5199,0.28895,0.286321,0.291579,1.59246,1.66849,9.29428,2.13888
1.66849,0.31048,0.306836,0.314124,1.74815,1.83161,9.15971,2.42783
1.83161,0.333802,0.328905,0.338699,1.91906,2.01068,9.02514,2.73831
2.01068,0.359166,0.352872,0.36546,2.10667,2.20725,8.89056,3.07211
2.20725,0.386644,0.378878,0.39441,2.31263,2.42304,8.75599,3.43128
2.42304,0.416606,0.407341,0.425871,2.53872,2.65993,8.62142,3.81792
2.65993,0.449416,0.438639,0.460193,2.78692,2.91998,8.48684,4.23453
2.91998,0.485199,0.472903,0.497495,3.05939,3.20545,8.35227,4.68394
3.20545,0.524008,0.510152,0.537864,3.35849,3.51883,8.2177,5.16914
3.51883,0.565392,0.549977,0.580806,3.68682,3.86284,8.08313,5.69315
3.86284,0.609226,0.592203,0.626249,4.04726,4.24049,7.94855,6.25854
4.24049,0.655233,0.636544,0.673922,4.44294,4.65506,7.81398,6.86777
4.65506,0.703446,0.683022,0.72387,4.87731,5.11017,7.6794,7.523
5.11017,0.753544,0.731316,0.775772,5.35414,5.60976,7.54483,8.22645
5.60976,0.805274,0.78111,0.829438,5.87759,6.1582,7.41025,8.97999
6.1582,0.858722,0.832576,0.884868,6.45221,6.76025,7.27568,9.78526
6.76025,0.9144,0.886185,0.942615,7.08301,7.42117,7.14111,10.644
7.42117,0.973669,0.943294,1.00404,7.77547,8.14669,7.00653,11.5584
8.14669,1.03745,1.00478,1.07012,8.53563,8.94315,6.87196,12.5321
8.94315,1.10715,1.0721,1.14221,9.37012,9.81748,6.73738,13.5695
9.81748,1.18367,1.14611,1.22123,10.2862,10.7773,6.6028,14.6767
10.7773,1.26923,1.22901,1.30946,11.2918,11.8309,6.46823,15.8603
11.8309,1.36505,1.3218,1.4083,12.3958,12.9876,6.33365,17.1296
12.9876,1.47081,1.42412,1.51749,13.6076,14.2573,6.19907,18.4946
14.2573,1.58263,1.5319,1.63335,14.938,15.6512,6.0645,19.9654
15.6512,1.69453,1.63925,1.74982,16.3984,17.1813,5.92992,21.548
17.1813,1.80266,1.74242,1.86291,18.0016,18.861,5.79534,23.2426
18.861,1.9068,1.8416,1.972,19.7615,20.705,5.66076,25.0452
20.705,2.01208,1.94278,2.08139,21.6935,22.7292,5.52618,26.952
22.7292,2.12287,2.05145,2.19428,23.8143,24.9513,5.39161,28.9641
24.9513,2.23952,2.16921,2.30984,26.1425,27.3906,5.25703,31.087
27.3906,2.35549,2.29015,2.42083,28.6983,30.0685,5.12245,33.3265
30.0685,2.45963,2.40255,2.5167,31.504,33.0081,4.98787,35.682
33.0081,2.54299,2.49594,2.59004,34.584,36.2352,4.85328,38.1416
36.2352,2.60302,2.56502,2.64102,37.9652,39.7777,4.7187,40.6846
39.7777,2.6464,2.61414,2.67866,41.6768,43.6665,4.58412,43.2876
43.6665,2.68476,2.65286,2.71666,45.7513,47.9356,4.44954,45.934
47.9356,2.72871,2.69227,2.76515,50.2242,52.622,4.31495,48.6188
52.622,2.78311,2.73993,2.82629,55.1343,57.7666,4.18036,51.3475
57.7666,2.84492,2.79691,2.89294,60.5245,63.4141,4.04578,54.1306
63.4141,2.90678,2.8594,2.95416,66.4417,69.6138,3.91119,56.9755
69.6138,2.96158,2.92088,3.00228,72.9374,76.4196,3.7766,59.8823
76.4196,3.00694,2.97668,3.0372,80.0681,83.8907,3.64201,62.8439
83.8907,3.0446,3.02425,3.06495,87.8959,92.0923,3.50742,65.8508
92.0923,3.07346,3.05852,3.08841,96.4892,101.096,3.37282,68.8954
101.096,3.08152,3.0673,3.09574,105.922,110.979,3.23822,71.9689
110.979,3.04396,3.03066,3.05726,116.278,121.829,3.10363,75.0504
121.829,2.9349,2.92654,2.94327,127.646,133.74,2.96902,78.0944
133.74,2.74525,2.72527,2.76523,140.125,146.815,2.83441,81.0293
146.815,2.49392,2.44931,2.53853,153.824,161.168,2.69981,83.7745
161.168,2.21617,2.14853,2.28382,168.863,176.925,2.56519,86.2685
176.925,1.93964,1.8593,2.01999,185.372,194.222,2.43057,88.4846
194.222,1.665,1.58229,1.74771,203.495,213.21,2.29595,90.4243
213.21,1.37128,1.28746,1.45511,223.389,234.054,2.16132,92.0893
234.054,1.04353,0.950985,1.13608,245.228,256.936,2.02669,93.4606
256.936,0.70736,0.596486,0.818233,269.203,282.056,1.89204,94.5041
282.056,0.441642,0.30988,0.573403,295.522,309.631,1.75737,95.2114
309.631,0.305752,0.157453,0.454052,324.414,339.902,1.6227,95.6531
339.902,0.30727,0.143408,0.471131,356.13,373.132,1.48801,95.9588
373.132,0.430987,0.259721,0.602253,390.946,409.611,1.35329,96.2661
