Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0,0,0,0.393033,0.411798,11.3129,0
0.411798,0,0,0,0.431458,0.452057,11.1783,0
0.452057,0,0,0,0.473639,0.496252,11.0437,0
0.496252,0,0,0,0.519944,0.544768,10.9091,0
0.544768,0,0,0,0.570777,0.598027,10.7746,0
0.598027,0,0,0,0.626578,0.656493,10.64,0
0.656493,0,0,0,0.687836,0.720675,10.5054,0
0.720675,0.000309832,0.000288837,0.000330827,0.755082,0.791132,10.3709,0
0.791132,0.00413435,0.00385342,0.00441528,0.828903,0.868477,10.2363,0.000309832
0.868477,0.0124704,0.0116292,0.0133116,0.90994,0.953383,10.1017,0.00444418
0.953383,0.019993,0.0186514,0.0213346,0.9989,1.04659,9.96714,0.0169146
1.04659,0.0256805,0.0239683,0.0273927,1.09656,1.14891,9.83257,0.0369076
1.14891,0.0294869,0.0275384,0.0314354,1.20376,1.26123,9.698,0.0625881
1.26123,0.0313776,0.0293161,0.0334391,1.32145,1.38454,9.56343,0.092075
1.38454,0.0315016,0.029437,0.0335662,1.45064,1.5199,9.42885,0.123453
1.5199,0.0301264,0.0281364,0.0321164,1.59246,1.66849,9.29428,0.154954
1.66849,0.0276384,0.0257825,0.0294943,1.74815,1.83161,9.15971,0.185081
1.83161,0.024462,0.0227552,0.0261688,1.91906,2.01068,9.02514,0.212719
2.01068,0.021035,0.0194626,0.0226074,2.10667,2.20725,8.89056,0.237181
2.20725,0.0177406,0.0162622,0.019219,2.31263,2.42304,8.75599,0.258216
2.42304,0.0148916,0.0134544,0.0163288,2.53872,2.65993,8.62142,0.275957
2.65993,0.0126978,0.0112396,0.014156,2.78692,2.91998,8.48684,0.290848
2.91998,0.0112676,0.00972385,0.0128114,3.05939,3.20545,8.35227,0.303546
3.20545,0.0106135,0.00892649,0.0123005,3.35849,3.51883,8.2177,0.314814
3.51883,0.0106683,0.00878561,0.012551,3.68682,3.86284,8.08313,0.325427
3.86284,0.011313,0.00919778,0.0134282,4.04726,4.24049,7.94855,0.336095
