
Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.03999,0.000336955,0.000325325,0.000348585,0.0418992,0.0438996,14.5426,0
0.0438996,0.000420787,0.000407849,0.000433725,0.0459955,0.0481915,14.408,0.000336955
0.0481915,0.000636449,0.000620068,0.00065283,0.0504923,0.0529029,14.2734,0.000757742
0.0529029,0.00122332,0.00119651,0.00125013,0.0554286,0.0580749,14.1389,0.00139419
0.0580749,0.00257935,0.00252172,0.00263698,0.0608476,0.0637526,14.0043,0.00261751
0.0637526,0.00495824,0.00483128,0.0050852,0.0667963,0.0699854,13.8697,0.00519686
0.0699854,0.00792269,0.00768832,0.00815706,0.0733267,0.0768275,13.7351,0.0101551
0.0768275,0.0107297,0.0103938,0.0110656,0.0804954,0.0843385,13.6006,0.0180778
0.0843385,0.0134112,0.012985,0.0138374,0.088365,0.0925838,13.466,0.0288075
0.0925838,0.0162377,0.0157267,0.0167487,0.0970039,0.101635,13.3314,0.0422187
0.101635,0.0192303,0.0186257,0.0198349,0.106488,0.111572,13.1969,0.0584564
0.111572,0.0221256,0.0214422,0.022809,0.116898,0.122479,13.0623,0.0776867
0.122479,0.0249546,0.0242145,0.0256947,0.128327,0.134454,12.9277,0.0998123
0.134454,0.0278365,0.0270267,0.0286463,0.140873,0.147598,12.7931,0.124767
0.147598,0.0306069,0.0297548,0.031459,0.154645,0.162028,12.6586,0.152603
0.162028,0.0333741,0.0324702,0.034278,0.169764,0.177869,12.524,0.18321
0.177869,0.0362841,0.0353313,0.0372369,0.186361,0.195258,12.3894,0.216584
0.195258,0.0395397,0.0385868,0.0404925,0.20458,0.214348,12.2549,0.252869
0.214348,0.0430488,0.0420618,0.0440358,0.224581,0.235303,12.1203,0.292408
0.235303,0.0468332,0.0459198,0.0477466,0.246537,0.258308,11.9857,0.335457
0.258308,0.0508615,0.0498572,0.0518658,0.27064,0.283561,11.8511,0.38229
0.283561,0.055044,0.0541015,0.0559864,0.297099,0.311283,11.7166,0.433152
0.311283,0.0592674,0.0583192,0.0602156,0.326145,0.341716,11.582,0.488196
0.341716,0.0635752,0.0627607,0.0643897,0.358031,0.375124,11.4474,0.547463
0.375124,0.0681127,0.0672252,0.0690002,0.393033,0.411798,11.3129,0.611038
0.411798,0.0730281,0.072095,0.0739612,0.431458,0.452057,11.1783,0.679151
0.452057,0.0783634,0.0775116,0.0792152,0.473639,0.496252,11.0437,0.752179
0.496252,0.0841565,0.0832253,0.0850877,0.519944,0.544768,10.9091,0.830543
0.544768,0.0904435,0.0894323,0.0914547,0.570777,0.598027,10.7746,0.914699
0.598027,0.0973754,0.096342,0.0984088,0.626578,0.656493,10.64,1.00514
0.656493,0.105048,0.103733,0.106363,0.687836,0.720675,10.5054,1.10252
0.720675,0.113569,0.11207,0.115068,0.755082,0.791132,10.3709,1.20757
0.791132,0.122985,0.121155,0.124815,0.828903,0.868477,10.2363,1.32114
0.868477,0.133475,0.13125,0.1357,0.90994,0.953383,10.1017,1.44412
0.953383,0.145228,0.142376,0.14808,0.9989,1.04659,9.96714,1.57759
1.04659,0.158448,0.154765,0.162131,1.09656,1.14891,9.83257,1.72282
1.14891,0.17321,0.16847,0.17795,1.20376,1.26123,9.698,1.88127
1.26123,0.189473,0.183216,0.19573,1.32145,1.38454,9.56343,2.05448
1.38454,0.207206,0.199203,0.215209,1.45064,1.5199,9.42885,2.24395
1.5199,0.226356,0.216224,0.236488,1.59246,1.66849,9.29428,2.45116
1.66849,0.246954,0.234135,0.259773,1.74815,1.83161,9.15971,2.67752
1.83161,0.268853,0.253031,0.284675,1.91906,2.01068,9.02514,2.92447
2.01068,0.291886,0.27251,0.311262,2.10667,2.20725,8.89056,3.19332
2.20725,0.315783,0.292491,0.339075,2.31263,2.42304,8.75599,3.48521
2.42304,0.340421,0.312684,0.368158,2.53872,2.65993,8.62142,3.80099
2.65993,0.365743,0.333355,0.398131,2.78692,2.91998,8.48684,4.14141
2.91998,0.391616,0.354115,0.429117,3.05939,3.20545,8.35227,4.50716
3.20545,0.417817,0.374859,0.460775,3.35849,3.51883,8.2177,4.89877
3.51883,0.443903,0.395416,0.49239,3.68682,3.86284,8.08313,5.31659
3.86284,0.469635,0.415521,0.523749,4.04726,4.24049,7.94855,5.76049
4.24049,0.494744,0.434777,0.554711,4.44294,4.65506,7.81398,6.23013
4.65506,0.519161,0.453454,0.584868,4.87731,5.11017,7.6794,6.72487
5.11017,0.542612,0.471447,0.613777,5.35414,5.60976,7.54483,7.24403
5.60976,0.565028,0.488379,0.641677,5.87759,6.1582,7.41025,7.78664
6.1582,0.586791,0.50503,0.668552,6.45221,6.76025,7.27568,8.35167
6.76025,0.608737,0.521915,0.695559,7.08301,7.42117,7.14111,8.93846
7.42117,0.632156,0.540352,0.72396,7.77547,8.14669,7.00653,9.5472
8.14669,0.657892,0.561052,0.754732,8.53563,8.94315,6.87196,10.1794
8.94315,0.687315,0.585655,0.788975,9.37012,9.81748,6.73738,10.8372
9.81748,0.721644,0.614943,0.828345,10.2862,10.7773,6.6028,11.5246
10.7773,0.763386,0.651561,0.875211,11.2918,11.8309,6.46823,12.2462
11.8309,0.81374,0.696509,0.930971,12.3958,12.9876,6.33365,13.0096
12.9876,0.871951,0.749644,0.994258,13.6076,14.2573,6.19907,13.8233
14.2573,0.933666,0.807813,1.05952,14.938,15.6512,6.0645,14.6953
15.6512,0.993006,0.865939,1.12007,16.3984,17.1813,5.92992,15.629
17.1813,1.04702,0.921269,1.17277,18.0016,18.861,5.79534,16.622
18.861,1.09711,0.974254,1.21997,19.7615,20.705,5.66076,17.669
20.705,1.14987,1.03037,1.26937,21.6935,22.7292,5.52618,18.7661
22.7292,1.21074,1.09412,1.32736,23.8143,24.9513,5.39161,19.916
24.9513,1.28068,1.16797,1.39339,26.1425,27.3906,5.25703,21.1267
27.3906,1.35349,1.24926,1.45772,28.6983,30.0685,5.12245,22.4074
