Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.03999,0.00107075,0.000821705,0.00131979,0.0418992,0.0438996,14.5426,0
0.0438996,0.00134954,0.00105909,0.00163999,0.0459955,0.0481915,14.408,0.00107075
0.0481915,0.00206581,0.00165929,0.00247233,0.0504923,0.0529029,14.2734,0.00242029
0.0529029,0.00398952,0.00328034,0.0046987,0.0554286,0.0580749,14.1389,0.0044861
0.0580749,0.0083833,0.00687411,0.00989249,0.0608476,0.0637526,14.0043,0.00847562
0.0637526,0.0160763,0.0129255,0.0192271,0.0667963,0.0699854,13.8697,0.0168589
0.0699854,0.0257599,0.0200805,0.0314393,0.0733267,0.0768275,13.7351,0.0329352
0.0768275,0.0350765,0.0268094,0.0433436,0.0804954,0.0843385,13.6006,0.0586951
0.0843385,0.0440034,0.0332229,0.0547839,0.088365,0.0925838,13.466,0.0937716
0.0925838,0.0534088,0.040018,0.0667996,0.0970039,0.101635,13.3314,0.137775
0.101635,0.0634548,0.0470421,0.0798675,0.106488,0.111572,13.1969,0.191184
0.111572,0.0731278,0.0536246,0.092631,0.116898,0.122479,13.0623,0.254639
0.122479,0.0823148,0.0598565,0.104773,0.128327,0.134454,12.9277,0.327767
0.134454,0.0914647,0.0659719,0.116958,0.140873,0.147598,12.7931,0.410081
0.147598,0.100463,0.0718358,0.12909,0.154645,0.162028,12.6586,0.501546
0.162028,0.109271,0.0774074,0.141135,0.169764,0.177869,12.524,0.602009
0.177869,0.117977,0.0828435,0.15311,0.186361,0.195258,12.3894,0.71128
0.195258,0.126961,0.0883924,0.16553,0.20458,0.214348,12.2549,0.829257
0.214348,0.136055,0.0938695,0.17824,0.224581,0.235303,12.1203,0.956218
0.235303,0.144889,0.0990756,0.190702,0.246537,0.258308,11.9857,1.09227
0.258308,0.152874,0.103751,0.201997,0.27064,0.283561,11.8511,1.23716
0.283561,0.159895,0.108026,0.211764,0.297099,0.311283,11.7166,1.39004
0.311283,0.165509,0.111649,0.219369,0.326145,0.341716,11.582,1.54993
0.341716,0.169726,0.11462,0.224832,0.358031,0.375124,11.4474,1.71544
0.375124,0.172613,0.11693,0.228296,0.393033,0.411798,11.3129,1.88517
0.411798,0.175075,0.119272,0.230878,0.431458,0.452057,11.1783,2.05778
0.452057,0.177321,0.121726,0.232916,0.473639,0.496252,11.0437,2.23285
0.496252,0.179584,0.124426,0.234742,0.519944,0.544768,10.9091,2.41018
0.544768,0.182042,0.127402,0.236682,0.570777,0.598027,10.7746,2.58976
0.598027,0.185612,0.131318,0.239906,0.626578,0.656493,10.64,2.7718
0.656493,0.190912,0.136521,0.245303,0.687836,0.720675,10.5054,2.95741
0.720675,0.198409,0.143305,0.253513,0.755082,0.791132,10.3709,3.14833
0.791132,0.208408,0.151763,0.265053,0.828903,0.868477,10.2363,3.34673
0.868477,0.221561,0.16233,0.280792,0.90994,0.953383,10.1017,3.55514
0.953383,0.238571,0.17545,0.301692,0.9989,1.04659,9.96714,3.7767
1.04659,0.259954,0.191445,0.328463,1.09656,1.14891,9.83257,4.01528
1.14891,0.28573,0.21027,0.36119,1.20376,1.26123,9.698,4.27523
1.26123,0.315484,0.231625,0.399343,1.32145,1.38454,9.56343,4.56096
1.38454,0.348817,0.255235,0.442399,1.45064,1.5199,9.42885,4.87644
1.5199,0.385361,0.280901,0.489821,1.59246,1.66849,9.29428,5.22526
1.66849,0.424879,0.308604,0.541154,1.74815,1.83161,9.15971,5.61062
1.83161,0.46676,0.337808,0.595712,1.91906,2.01068,9.02514,6.0355
2.01068,0.510446,0.368336,0.652556,2.10667,2.20725,8.89056,6.50226
2.20725,0.555439,0.399842,0.711036,2.31263,2.42304,8.75599,7.01271
2.42304,0.601657,0.432378,0.770936,2.53872,2.65993,8.62142,7.56815
2.65993,0.649115,0.466,0.83223,2.78692,2.91998,8.48684,8.1698
2.91998,0.697542,0.500545,0.894539,3.05939,3.20545,8.35227,8.81892
3.20545,0.74626,0.535414,0.957106,3.35849,3.51883,8.2177,9.51646
3.51883,0.794268,0.569808,1.01873,3.68682,3.86284,8.08313,10.2627
3.86284,0.840805,0.603026,1.07858,4.04726,4.24049,7.94855,11.057
4.24049,0.885077,0.634447,1.13571,4.44294,4.65506,7.81398,11.8978
4.65506,0.92625,0.663218,1.18928,4.87731,5.11017,7.6794,12.7829
5.11017,0.963166,0.688466,1.23787,5.35414,5.60976,7.54483,13.7091
5.60976,0.995185,0.709526,1.28084,5.87759,6.1582,7.41025,14.6723
6.1582,1.02282,0.726991,1.31865,6.45221,6.76025,7.27568,15.6675
6.76025,1.04769,0.74202,1.35336,7.08301,7.42117,7.14111,16.6903
7.42117,1.07164,0.756163,1.38712,7.77547,8.14669,7.00653,17.738
8.14669,1.09577,0.770425,1.42111,8.53563,8.94315,6.87196,18.8096
8.94315,1.12164,0.78604,1.45724,9.37012,9.81748,6.73738,19.9054
9.81748,1.15192,0.805602,1.49824,10.2862,10.7773,6.6028,21.027
10.7773,1.19138,0.833289,1.54947,11.2918,11.8309,6.46823,22.179
11.8309,1.24302,0.872091,1.61395,12.3958,12.9876,6.33365,23.3703
12.9876,1.30454,0.920586,1.68849,13.6076,14.2573,6.19907,24.6134
14.2573,1.36653,0.971232,1.76183,14.938,15.6512,6.0645,25.9179
15.6512,1.41741,1.0143,1.82052,16.3984,17.1813,5.92992,27.2844
17.1813,1.45284,1.04522,1.86046,18.0016,18.861,5.79534,28.7018
18.861,1.48041,1.06878,1.89204,19.7615,20.705,5.66076,30.1547
20.705,1.51667,1.09716,1.93618,21.6935,22.7292,5.52618,31.6351
22.7292,1.5748,1.1403,2.0093,23.8143,24.9513,5.39161,33.1518
24.9513,1.65447,1.19867,2.11027,26.1425,27.3906,5.25703,34.7266
27.3906,1.73814,1.2601,2.21618,28.6983,30.0685,5.12245,36.381
30.0685,1.79834,1.30587,2.29081,31.504,33.0081,4.98787,38.1192
