site,sample,depth,d_10,d_50,d_90,comp,water
,,cm,mu m,mu m,mu m,,wt %
badwater_basin_P1,"(3,1)",9,2,7,42,clay,24
badwater_basin_P1,"(3,2)",16,3,25,108,clay,24
badwater_basin_P1,"(3,3)",26,4,62,182,coarse silt,27
badwater_basin_P1,"(3,4)",36,3,29,119,clay,26
badwater_basin_P1,"(3,5)",45,4,31,115,medium silt,28
badwater_basin_P2,"(3,1)",7,2,13,45,clay,29
badwater_basin_P2,"(3,2)",15,4,41,178,medium silt,29
badwater_basin_P2,"(3,3)",22,3,33,159,clay,27
badwater_basin_P2,"(3,4)",28,2,112,849,clay,29
badwater_basin_P2,"(3,5)",35,1,5,25,clay,30
badwater_basin_P3,"(3,1)",13,2,13,49,clay,22
badwater_basin_P3,"(3,2)",19,3,45,157,coarse silt,27
badwater_basin_P3,"(3,3)",24,2,10,49,clay,22
badwater_basin_P3,"(3,4)",34,3,27,105,clay,22
badwater_basin_P3,"(3,5)",43,3,29,124,clay,25
badwater_basin_P4,"(3,1)",13,3,18,59,clay,26
badwater_basin_P4,"(3,2)",21,3,23,73,medium silt,24
badwater_basin_P4,"(3,3)",27,3,27,115,clay,29
badwater_basin_P4,"(3,4)",34,3,26,95,medium silt,27
badwater_basin_P4,"(3,5)",41,3,27,125,clay,28
badwater_basin_P5,"(3,1)",18,3,22,67,medium silt,10
badwater_basin_P5,"(3,2)",26,4,35,210,medium silt,15
badwater_basin_P5,"(3,3)",29,1,3,9,clay,27
badwater_basin_P5,"(3,4)",33,1,3,14,clay,16
badwater_basin_P5,"(3,5)",35,2,8,32,clay,18
T2-4_P1,"(3,1)",22,5,87,232,very fine sand,19
T2-4_P1,"(3,2)",30,3,28,112,medium silt,35
T2-4_P1,"(3,3)",35,6,179,729,very fine sand,17
T2-4_P1,"(3,4)",41,7,124,529,very fine sand,16
T2-4_P1,"(3,5)",46,9,126,511,very fine sand,18
T2-5_P1,"(3,1)",10,21,300,1113,medium sand,28
T2-5_P1,"(3,2)",16,17,422,927,medium sand,10
T2-5_P1,"(3,3)",22,8,422,942,medium sand,14
T2-5_P1,"(3,4)",29,10,126,814,medium sand,6
T2-5_P1,"(3,5)",33,8,136,874,medium sand,16
T2-5_P2,"(3,1)",10,8,53,145,coarse silt,17
T2-5_P2,"(3,3)",22,8,156,762,medium sand,36
T2-5_P2,"(3,4)",29,13,264,1096,medium sand,21
T2-5_P2,"(3,5)",33,14,117,446,very fine sand,23
T2-5_P3,"(7,1)",3,24,381,1138,medium sand,19
T2-5_P3,"(7,2)",13,46,163,481,very fine sand,21
T2-5_P3,"(7,3)",24,21,213,935,very fine sand,24
T2-5_P3,"(7,4)",33,11,167,717,medium sand,23
T8-W_P1,"(8,1)",3,8,118,437,very fine sand,21
T8-W_P1,"(8,2)",10,32,171,463,very fine sand,19
T8-W_P1,"(8,3)",20,3,30,140,clay,23
T8-W_P1,"(8,4)",30,4,62,453,clay,25
T8-W_P1,"(8,5)",40,4,62,381,very fine sand,32
T8-W_P1,"(8,6)",50,3,58,519,clay,33
T8-W_P1,"(8,7)",60,3,70,647,clay,37
T10-3_P1,"(8,1)",3,1,10,32,clay,45
T10-3_P1,"(8,2)",10,3,52,30,clay,44
T10-3_P1,"(8,3)",20,4,119,32,fine sand,48
T10-3_P1,"(8,4)",30,3,48,27,very fine sand,38
T10-3_P1,"(8,5)",40,3,80,37,clay,58
T10-3_P1,"(8,6)",50,2,52,35,clay,55
T10-3_P1,"(8,7)",60,2,27,38,clay,62
T16_P1,"(11,1)",3,3,56,368,clay,46
T16_P1,"(11,2)",15,3,102,682,clay,48
T16_P1,"(11,3)",30,3,117,772,clay,50
T16_P1,"(11,4)",45,15,247,1096,medium silt,33
T16_P1,"(11,5)",60,8,121,473,very fine sand,51
T16_P1,"(11,6)",75,8,108,702,very fine sand,59
T16_P1,"(11,7)",90,6,91,581,very fine sand,61
T25-3_P1,"(8,1)",3,6,117,506,very fine sand,16
T25-3_P1,"(8,2)",15,19,339,782,medium sand,18
T25-3_P1,"(8,3)",30,8,87,442,very fine sand,54
T25-3_P1,"(8,4)",45,6,69,533,medium silt,44
T25-3_P1,"(8,5)",60,8,81,525,coarse silt,60
T25-3_P1,"(8,6)",75,8,62,455,medium silt,58
T25-3_P1,"(8,7)",90,6,62,445,medium silt,60
T25-3_P2,"(5,1)",3,4,40,451,clay,31
T25-3_P2,"(5,2)",30,21,224,849,medium sand,28
T25-3_P2,"(5,4)",90,16,343,842,medium sand,31
T25-3_P2,"(5,5)",120,13,292,763,medium sand,32
T25-3_P2,"(5,6)",150,8,117,519,very fine sand,68
T27-A_P1,"(3,1)",27,81,267,758,very fine sand,
T27-A_P1,"(3,2)",42,10,77,273,very fine sand,48
T27-A_P1,"(3,3)",57,10,122,487,very fine sand,54
T27-A_P1,"(3,4)",72,32,319,1043,medium sand,55
T27-A_P1,"(3,5)",87,8,71,321,very fine sand,58
T27-A_P2,"(3,1)",28,44,247,790,very fine sand,13
T27-A_P2,"(3,2)",39,49,236,626,very fine sand,13
T27-A_P2,"(3,3)",52,27,232,1107,medium sand,34
T27-A_P2,"(3,4)",66,14,97,589,coarse silt,46
T27-A_P2,"(3,5)",84,15,123,492,very fine sand,45
T27-A_P3,"(7,1)",3,65,257,725,very fine sand,19
T27-A_P3,"(7,2)",10,44,257,716,very fine sand,16
T27-A_P3,"(7,3)",20,20,153,458,very fine sand,17
T27-A_P3,"(7,4)",30,42,181,414,very fine sand,17
T27-A_P3,"(7,5)",40,35,344,716,fine sand,18
T27-A_P3,"(7,6)",50,12,122,557,very fine sand,38
T27-A_P3,"(7,7)",60,10,133,561,very fine sand,33
T27-A_P3,"(7,8)",70,9,117,523,very fine sand,34
T27-A_P3,"(7,9)",80,12,113,570,very fine sand,40
T27-A_P3,"(7,10)",90,9,107,462,very fine sand,38
T27-S_P1,"(15,1)",3,7,64,248,very fine sand,23
T27-S_P1,"(15,2)",10,6,63,484,medium silt,26
T27-S_P1,"(15,3)",20,38,229,864,medium sand,32
T27-S_P1,"(15,4)",30,6,71,548,very fine sand,22
T27-S_P1,"(15,5)",40,8,141,592,fine sand,24
T27-S_P1,"(15,6)",50,12,163,784,medium sand,39
T27-S_P1,"(15,7)",60,12,305,832,medium sand,27
T27-S_P1,"(15,8)",75,11,163,606,fine sand,67
T27-S_P1,"(15,9)",90,9,149,633,fine sand,71
T29-3_P1,"(3,1)",4,128,360,914,fine sand,16
T29-3_P1,"(3,2)",8,167,493,1157,medium sand,15
T29-3_P1,"(3,3)",15,181,429,1008,fine sand,16
T29-3_P1,"(3,4)",21,132,624,1311,medium sand,12
T29-3_P1,"(3,5)",28,82,358,1345,medium sand,12
T29-3_P2,"(3,1)",1,178,789,1446,medium sand,23
T29-3_P2,"(3,2)",7,84,292,784,fine sand,16
T29-3_P2,"(3,3)",13,103,291,782,very fine sand,18
T29-3_P2,"(3,4)",19,136,347,949,medium sand,14
T29-3_P2,"(3,5)",24,133,318,1025,very fine sand,14
T32-1-L1_P1,"(4,1)",5,12,107,567,very fine sand,22
T32-1-L1_P1,"(4,2)",20,6,50,190,medium silt,32
T32-1-L1_P1,"(4,3)",27,37,338,1090,medium sand,18
T32-1-L1_P1,"(4,4)",34,14,96,263,coarse silt,18
T32-1-L1_P1,"(4,5)",40,100,193,325,very fine sand,7
T32-1-L1_P2,"(9,1)",3,13,99,423,very fine sand,20
T32-1-L1_P2,"(9,2)",10,14,65,232,medium silt,22
T32-1-L1_P2,"(9,3)",20,6,41,125,medium silt,32
T32-1-L1_P2,"(9,4)",30,28,195,844,very fine sand,13
T32-1-L1_P2,"(9,5)",40,7,43,151,medium silt,29
T32-1-L1_P2,"(9,6)",50,68,153,455,very fine sand,23
T32-1-L1_P2,"(9,7)",60,102,177,355,very fine sand,24
T32-1-L1_P2,"(9,8)",70,146,282,674,very fine sand,24
T32-1-L1_P3,"(10,1)",3,11,88,417,very fine sand,20
T32-1-L1_P3,"(10,2)",10,25,120,287,very fine sand,19
T32-1-L1_P3,"(10,3)",20,59,300,1163,fine sand,14
T32-1-L1_P3,"(10,4)",30,67,204,1166,very fine sand,11
T32-1-L1_P3,"(10,5)",40,9,89,498,coarse silt,17
T32-1-L1_P3,"(10,6)",50,155,273,569,fine sand,18
T32-1-L1_P3,"(10,7)",60,119,241,938,very fine sand,21
T32-1-L1_P3,"(10,8)",70,233,674,1322,medium sand,17
T36-3_P1,"(3,2)",25,46,138,257,very fine sand,23
T36-3_P1,"(3,3)",34,35,176,521,very fine sand,27
T36-3_P1,"(3,4)",46,64,185,548,very fine sand,18
T36-3_P1,"(3,5)",54,63,177,611,very fine sand,17
T36-3_P2,"(3,1)",18,63,195,555,very fine sand,19
T36-3_P2,"(3,2)",39,47,190,538,very fine sand,16
T36-3_P2,"(3,3)",69,13,242,716,medium sand,54
T36-3_P2,"(3,4)",77,15,90,451,coarse silt,38
T36-3_P2,"(3,5)",94,9,82,363,very fine sand,41
T36-3_P3,"(3,1)",13,149,504,1126,medium sand,16
T36-3_P3,"(3,2)",22,81,283,1059,very fine sand,14
T36-3_P3,"(3,3)",31,40,193,754,very fine sand,13
T36-3_P3,"(3,4)",40,23,76,185,coarse silt,17
T36-3_P3,"(3,5)",48,69,199,518,very fine sand,16
