Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.03999,0.000349578,0.000327872,0.000371284,0.0418992,0.0438996,14.5426,0
0.0438996,0.000453824,0.000424116,0.000483531,0.0459955,0.0481915,14.408,0.000349578
0.0481915,0.000715891,0.000666576,0.000765205,0.0504923,0.0529029,14.2734,0.000803402
0.0529029,0.00142915,0.0013227,0.00153559,0.0554286,0.0580749,14.1389,0.00151929
0.0580749,0.00299528,0.0027718,0.00321877,0.0608476,0.0637526,14.0043,0.00294844
0.0637526,0.00559362,0.00520278,0.00598447,0.0667963,0.0699854,13.8697,0.00594372
0.0699854,0.00859251,0.00806299,0.00912202,0.0733267,0.0768275,13.7351,0.0115373
0.0768275,0.011425,0.0107828,0.0120673,0.0804954,0.0843385,13.6006,0.0201299
0.0843385,0.0141895,0.0134384,0.0149406,0.088365,0.0925838,13.466,0.0315549
0.0925838,0.0171718,0.0163083,0.0180354,0.0970039,0.101635,13.3314,0.0457443
0.101635,0.0202813,0.01933,0.0212326,0.106488,0.111572,13.1969,0.0629162
0.111572,0.0232875,0.0222664,0.0243086,0.116898,0.122479,13.0623,0.0831975
0.122479,0.0263375,0.0252244,0.0274507,0.128327,0.134454,12.9277,0.106485
0.134454,0.0294119,0.0282349,0.0305889,0.140873,0.147598,12.7931,0.132823
0.147598,0.0324348,0.0312367,0.033633,0.154645,0.162028,12.6586,0.162234
0.162028,0.0354749,0.0342801,0.0366698,0.169764,0.177869,12.524,0.194669
0.177869,0.0387946,0.0375801,0.0400091,0.186361,0.195258,12.3894,0.230144
0.195258,0.0424371,0.0412143,0.0436598,0.20458,0.214348,12.2549,0.268939
0.214348,0.0463581,0.0451475,0.0475687,0.224581,0.235303,12.1203,0.311376
0.235303,0.0505639,0.0493485,0.0517794,0.246537,0.258308,11.9857,0.357734
0.258308,0.0551378,0.0538544,0.0564212,0.27064,0.283561,11.8511,0.408298
0.283561,0.0599153,0.0584922,0.0613385,0.297099,0.311283,11.7166,0.463436
0.311283,0.0648096,0.0631639,0.0664552,0.326145,0.341716,11.582,0.523351
0.341716,0.0698382,0.0678844,0.0717919,0.358031,0.375124,11.4474,0.588161
0.375124,0.0752338,0.0729152,0.0775523,0.393033,0.411798,11.3129,0.657999
0.411798,0.0810331,0.0782462,0.08382,0.431458,0.452057,11.1783,0.733233
0.452057,0.0872643,0.0838931,0.0906355,0.473639,0.496252,11.0437,0.814266
0.496252,0.0939065,0.0898302,0.0979829,0.519944,0.544768,10.9091,0.90153
0.544768,0.101107,0.096249,0.105965,0.570777,0.598027,10.7746,0.995436
0.598027,0.108917,0.103163,0.11467,0.626578,0.656493,10.64,1.09654
0.656493,0.11739,0.1106,0.124181,0.687836,0.720675,10.5054,1.20546
0.720675,0.126516,0.118535,0.134496,0.755082,0.791132,10.3709,1.32285
0.791132,0.136412,0.127114,0.145711,0.828903,0.868477,10.2363,1.44937
0.868477,0.147167,0.136418,0.157916,0.90994,0.953383,10.1017,1.58578
0.953383,0.158871,0.146512,0.17123,0.9989,1.04659,9.96714,1.73295
1.04659,0.171513,0.157357,0.18567,1.09656,1.14891,9.83257,1.89182
1.14891,0.185118,0.168993,0.201244,1.20376,1.26123,9.698,2.06333
1.26123,0.199597,0.181389,0.217806,1.32145,1.38454,9.56343,2.24845
1.38454,0.214841,0.194468,0.235214,1.45064,1.5199,9.42885,2.44805
1.5199,0.230631,0.208013,0.25325,1.59246,1.66849,9.29428,2.66289
1.66849,0.246818,0.221877,0.271759,1.74815,1.83161,9.15971,2.89352
1.83161,0.263193,0.23593,0.290456,1.91906,2.01068,9.02514,3.14034
2.01068,0.279523,0.250019,0.309026,2.10667,2.20725,8.89056,3.40353
2.20725,0.295513,0.263912,0.327114,2.31263,2.42304,8.75599,3.68305
2.42304,0.31086,0.277295,0.344424,2.53872,2.65993,8.62142,3.97856
2.65993,0.325472,0.290094,0.360851,2.78692,2.91998,8.48684,4.28942
2.91998,0.339324,0.302332,0.376317,3.05939,3.20545,8.35227,4.6149
3.20545,0.352567,0.314251,0.390882,3.35849,3.51883,8.2177,4.95422
3.51883,0.365182,0.325793,0.404571,3.68682,3.86284,8.08313,5.30679
3.86284,0.377414,0.337072,0.417756,4.04726,4.24049,7.94855,5.67197
4.24049,0.389637,0.348354,0.430921,4.44294,4.65506,7.81398,6.04938
4.65506,0.402506,0.360309,0.444702,4.87731,5.11017,7.6794,6.43902
5.11017,0.416707,0.373612,0.459803,5.35414,5.60976,7.54483,6.84153
5.60976,0.432825,0.388623,0.477026,5.87759,6.1582,7.41025,7.25823
6.1582,0.451748,0.405967,0.49753,6.45221,6.76025,7.27568,7.69106
6.76025,0.474529,0.426426,0.522633,7.08301,7.42117,7.14111,8.14281
7.42117,0.503126,0.451955,0.554298,7.77547,8.14669,7.00653,8.61734
8.14669,0.539491,0.484314,0.594668,8.53563,8.94315,6.87196,9.12046
8.94315,0.586556,0.525949,0.647163,9.37012,9.81748,6.73738,9.65995
9.81748,0.647566,0.57918,0.715952,10.2862,10.7773,6.6028,10.2465
10.7773,0.727116,0.648194,0.806038,11.2918,11.8309,6.46823,10.8941
11.8309,0.829648,0.737607,0.921689,12.3958,12.9876,6.33365,11.6212
12.9876,0.959366,0.852031,1.0667,13.6076,14.2573,6.19907,12.4508
14.2573,1.11945,0.994541,1.24436,14.938,15.6512,6.0645,13.4102
15.6512,1.31187,1.16663,1.45712,16.3984,17.1813,5.92992,14.5297
17.1813,1.53842,1.37031,1.70652,18.0016,18.861,5.79534,15.8415
18.861,1.79956,1.60715,1.99197,19.7615,20.705,5.66076,17.3799
20.705,2.09545,1.87846,2.31244,21.6935,22.7292,5.52618,19.1795
22.7292,2.42316,2.18013,2.66619,23.8143,24.9513,5.39161,21.275
24.9513,2.7771,2.50184,3.05237,26.1425,27.3906,5.25703,23.6981
27.3906,3.14928,2.82841,3.47015,28.6983,30.0685,5.12245,26.4752
