Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.03999,0.000285932,0.000226028,0.000345836,0.0418992,0.0438996,14.5426,0
0.0438996,0.000364182,0.00029136,0.000437004,0.0459955,0.0481915,14.408,0.000285932
0.0481915,0.000562835,0.000456179,0.000669491,0.0504923,0.0529029,14.2734,0.000650114
0.0529029,0.00111257,0.000910152,0.00131499,0.0554286,0.0580749,14.1389,0.00121295
0.0580749,0.00234218,0.00191176,0.0027726,0.0608476,0.0637526,14.0043,0.00232552
0.0637526,0.00439746,0.00356649,0.00522843,0.0667963,0.0699854,13.8697,0.0046677
0.0699854,0.00675395,0.00544234,0.00806556,0.0733267,0.0768275,13.7351,0.00906516
0.0768275,0.00890217,0.00717168,0.0106327,0.0804954,0.0843385,13.6006,0.0158191
0.0843385,0.0109238,0.0088262,0.0130214,0.088365,0.0925838,13.466,0.0247213
0.0925838,0.0130282,0.0105752,0.0154812,0.0970039,0.101635,13.3314,0.0356451
0.101635,0.0151398,0.0123507,0.0179289,0.106488,0.111572,13.1969,0.0486733
0.111572,0.0170814,0.014016,0.0201468,0.116898,0.122479,13.0623,0.0638131
0.122479,0.018991,0.0156866,0.0222954,0.128327,0.134454,12.9277,0.0808945
0.134454,0.0208261,0.0173188,0.0243334,0.140873,0.147598,12.7931,0.0998855
0.147598,0.0224588,0.0188471,0.0260705,0.154645,0.162028,12.6586,0.120712
0.162028,0.0239652,0.020319,0.0276114,0.169764,0.177869,12.524,0.14317
0.177869,0.0255734,0.0219351,0.0292117,0.186361,0.195258,12.3894,0.167136
0.195258,0.0273134,0.0237037,0.0309231,0.20458,0.214348,12.2549,0.192709
0.214348,0.0290948,0.0255871,0.0326025,0.224581,0.235303,12.1203,0.220022
0.235303,0.030938,0.0276111,0.0342649,0.246537,0.258308,11.9857,0.249117
0.258308,0.0330158,0.0299022,0.0361294,0.27064,0.283561,11.8511,0.280055
0.283561,0.0352679,0.0324027,0.0381331,0.297099,0.311283,11.7166,0.313071
0.311283,0.0377264,0.0351029,0.0403498,0.326145,0.341716,11.582,0.348339
0.341716,0.0404209,0.0380849,0.0427569,0.358031,0.375124,11.4474,0.386065
0.375124,0.0436547,0.0415285,0.0457809,0.393033,0.411798,11.3129,0.426486
0.411798,0.0475199,0.0455714,0.0494684,0.431458,0.452057,11.1783,0.470141
0.452057,0.0521603,0.050258,0.0540626,0.473639,0.496252,11.0437,0.517661
0.496252,0.0576344,0.0557104,0.0595584,0.519944,0.544768,10.9091,0.569821
0.544768,0.0642051,0.0621295,0.0662807,0.570777,0.598027,10.7746,0.627455
0.598027,0.0720925,0.0696489,0.0745361,0.626578,0.656493,10.64,0.691661
0.656493,0.0815173,0.0784929,0.0845417,0.687836,0.720675,10.5054,0.763753
0.720675,0.0926122,0.0887479,0.0964765,0.755082,0.791132,10.3709,0.84527
0.791132,0.105579,0.100557,0.110601,0.828903,0.868477,10.2363,0.937883
0.868477,0.120698,0.11416,0.127236,0.90994,0.953383,10.1017,1.04346
0.953383,0.138239,0.129784,0.146694,0.9989,1.04659,9.96714,1.16416
1.04659,0.158352,0.147525,0.169179,1.09656,1.14891,9.83257,1.3024
1.14891,0.180979,0.167355,0.194603,1.20376,1.26123,9.698,1.46075
1.26123,0.205869,0.189025,0.222713,1.32145,1.38454,9.56343,1.64173
1.38454,0.232686,0.212355,0.253017,1.45064,1.5199,9.42885,1.8476
1.5199,0.26099,0.236858,0.285122,1.59246,1.66849,9.29428,2.08028
1.66849,0.290358,0.262247,0.318469,1.74815,1.83161,9.15971,2.34127
1.83161,0.320179,0.288016,0.352342,1.91906,2.01068,9.02514,2.63163
2.01068,0.34978,0.313535,0.386025,2.10667,2.20725,8.89056,2.95181
2.20725,0.378397,0.338225,0.418569,2.31263,2.42304,8.75599,3.30159
2.42304,0.405371,0.361497,0.449245,2.53872,2.65993,8.62142,3.67999
2.65993,0.430251,0.382948,0.477554,2.78692,2.91998,8.48684,4.08536
2.91998,0.452659,0.402444,0.502874,3.05939,3.20545,8.35227,4.51561
3.20545,0.472427,0.419622,0.525232,3.35849,3.51883,8.2177,4.96827
3.51883,0.48929,0.43441,0.54417,3.68682,3.86284,8.08313,5.4407
3.86284,0.503375,0.446651,0.560099,4.04726,4.24049,7.94855,5.92999
4.24049,0.514912,0.456932,0.572892,4.44294,4.65506,7.81398,6.43336
4.65506,0.524477,0.465405,0.583549,4.87731,5.11017,7.6794,6.94827
5.11017,0.532587,0.472731,0.592443,5.35414,5.60976,7.54483,7.47275
5.60976,0.539862,0.479319,0.600405,5.87759,6.1582,7.41025,8.00534
6.1582,0.547305,0.485835,0.608775,6.45221,6.76025,7.27568,8.5452
6.76025,0.556071,0.493231,0.618911,7.08301,7.42117,7.14111,9.0925
7.42117,0.568031,0.503645,0.632417,7.77547,8.14669,7.00653,9.64857
8.14669,0.584628,0.51792,0.651336,8.53563,8.94315,6.87196,10.2166
8.94315,0.608241,0.538066,0.678416,9.37012,9.81748,6.73738,10.8012
9.81748,0.641057,0.56557,0.716544,10.2862,10.7773,6.6028,11.4095
10.7773,0.686647,0.604076,0.769218,11.2918,11.8309,6.46823,12.0505
11.8309,0.747323,0.656181,0.838465,12.3958,12.9876,6.33365,12.7372
12.9876,0.824427,0.722918,0.925936,13.6076,14.2573,6.19907,13.4845
14.2573,0.917214,0.803732,1.0307,14.938,15.6512,6.0645,14.3089
15.6512,1.02401,0.897674,1.15035,16.3984,17.1813,5.92992,15.2261
17.1813,1.14472,1.00568,1.28376,18.0016,18.861,5.79534,16.2502
18.861,1.28003,1.13074,1.42932,19.7615,20.705,5.66076,17.3949
20.705,1.43314,1.27675,1.58953,21.6935,22.7292,5.52618,18.6749
22.7292,1.60548,1.44293,1.76803,23.8143,24.9513,5.39161,20.108
24.9513,1.79717,1.6241,1.97024,26.1425,27.3906,5.25703,21.7135
27.3906,2.00597,1.81231,2.19963,28.6983,30.0685,5.12245,23.5107
