d_s_center,d_s_lower,d_s_upper,site,z
1.0729096157919155e-05,1.0240201420331726e-05,1.1241332614528308e-05,owens_lake_T8-W_P1,1.0
1.7753732378469845e-05,1.6944743850915206e-05,1.8601343282127117e-05,owens_lake_T8-W_P1,2.0
4.608307527590496e-06,4.398319875247216e-06,4.828320699116877e-06,owens_lake_T8-W_P1,3.0
5.404062086401403e-06,5.157814075797744e-06,5.662066689803111e-06,owens_lake_T8-W_P1,4.0
4.948518419003178e-06,4.7230282348148805e-06,5.184774096445251e-06,owens_lake_T8-W_P1,5.0
4.834369595569573e-06,4.614080878121451e-06,5.065175526757046e-06,owens_lake_T8-W_P1,6.0
4.774463961848223e-06,4.556904989360591e-06,5.002409856058035e-06,owens_lake_T8-W_P1,7.0
3.7115757570123224e-06,3.5424499301201493e-06,3.8887768608849515e-06,badwater_basin_P1,1.0
7.4780532099748075e-06,7.137299972132651e-06,7.835076686110833e-06,badwater_basin_P1,2.0
1.117285977591319e-05,1.0663744573809602e-05,1.1706283472544682e-05,badwater_basin_P1,3.0
8.242184977848365e-06,7.866612448197487e-06,8.63569024908865e-06,badwater_basin_P1,4.0
8.828936042283459e-06,8.426626958375151e-06,9.250454467596673e-06,badwater_basin_P1,5.0
5.577349073864676e-06,5.323205466245595e-06,5.843627588261457e-06,badwater_basin_P2,1.0
9.783624480924092e-06,9.337812944368424e-06,1.0250722373658393e-05,badwater_basin_P2,2.0
8.121494406590418e-06,7.751421340867402e-06,8.50923750555931e-06,badwater_basin_P2,3.0
6.3893208154923555e-06,6.0981776983228065e-06,6.694364868565598e-06,badwater_basin_P2,4.0
2.9690070892550044e-06,2.8337179529529226e-06,3.1107558458852584e-06,badwater_basin_P2,5.0
5.189678475387576e-06,4.953199835078806e-06,5.4374484477109934e-06,badwater_basin_P3,1.0
9.20721255190477e-06,8.787666315124335e-06,9.64679079696962e-06,badwater_basin_P3,2.0
4.61132470096208e-06,4.40119996364587e-06,4.8314824048177565e-06,badwater_basin_P3,3.0
7.293441626900348e-06,6.9611005231832035e-06,7.641651154325021e-06,badwater_basin_P3,4.0
7.288090276449372e-06,6.9559929892395975e-06,7.636044284675263e-06,badwater_basin_P3,5.0
6.4192213466112186e-06,6.126716056513076e-06,6.725693231522686e-06,badwater_basin_P4,1.0
7.190762827801103e-06,6.863100578260101e-06,7.534070249208886e-06,badwater_basin_P4,2.0
7.428928111022967e-06,7.090413311388475e-06,7.783606159538778e-06,badwater_basin_P4,3.0
7.6186426339544886e-06,7.271483123976509e-06,7.982378227787144e-06,badwater_basin_P4,4.0
7.093844711221178e-06,6.770598681256575e-06,7.432524912429661e-06,badwater_basin_P4,5.0
6.835646812154546e-06,6.5241661970009786e-06,7.162000004635703e-06,badwater_basin_P5,1.0
9.561264592392068e-06,9.125585426697626e-06,1.0017746466454662e-05,badwater_basin_P5,2.0
2.0150786676278892e-06,1.923257272036984e-06,2.1112841585225214e-06,badwater_basin_P5,3.0
2.3681083503135392e-06,2.2602004137252047e-06,2.4811684849209976e-06,badwater_basin_P5,4.0
4.413209388960367e-06,4.2121122214377975e-06,4.623908535753799e-06,badwater_basin_P5,5.0
1.2755395069729605e-05,1.2174168140332963e-05,1.3364373308115924e-05,owens_lake_T2-4_P1,1.0
8.130352599191984e-06,7.759875952285647e-06,8.518518670507882e-06,owens_lake_T2-4_P1,2.0
1.547490947983389e-05,1.4769762374472788e-05,1.6213725254666024e-05,owens_lake_T2-4_P1,3.0
1.672918930449413e-05,1.5966888185126333e-05,1.7527887864740815e-05,owens_lake_T2-4_P1,4.0
1.9394815579126997e-05,1.85110495715018e-05,2.0320778663309614e-05,owens_lake_T2-4_P1,5.0
3.2211835778855954e-05,3.0744034998545805e-05,3.374971926723509e-05,owens_lake_T2-5_P1,1.0
3.227751465891897e-05,3.080672155025432e-05,3.381853444385788e-05,owens_lake_T2-5_P1,2.0
1.8115759454538813e-05,1.729027695955891e-05,1.8980657381608985e-05,owens_lake_T2-5_P1,3.0
1.8912092403197393e-05,1.805032294051769e-05,1.981500918339415e-05,owens_lake_T2-5_P1,4.0
1.6730244633920178e-05,1.5967895678504585e-05,1.752899379656178e-05,owens_lake_T2-5_P1,5.0
1.5139041880645247e-05,1.4449199337113732e-05,1.5861822416331813e-05,owens_lake_T2-5_P2,1.0
,,,owens_lake_T2-5_P2,2.0
